QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MAJAPPLY,MAJA_PLY,GFTC_MAJ,GFTC0MAJ,MAJ_MO,MAJ_MO_,MAJPURX,MAJPURX_,MAJRENTX,MAJR_NTX,MAJINSTX,MAJI_STX,MJAPPL1,MJAPPL1_,MJAPPL2,MJAPPL2_,MJAPPL3,MJAPPL3_,MJAPPL4,MJAPPL4_,MJAPPL5,MJAPPL5_,MJAPPL6,MJAPPL6_,MJAPPL7,MJAPPL7_,MJAPPL8,MJAPPL8_,MJAPPL9,MJAPPL9_
20181,03639914,1,0,2,195,D,1,D,10,D,1800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640304,1,0,1,160,D,1,D,11,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640434,1,0,1,100,D,1,D,11,D,876,D,,A,75,F,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640774,1,0,2,160,D,1,D,10,D,600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640814,1,0,1,120,D,1,D,12,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641104,1,0,1,120,D,1,D,11,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641134,1,0,1,100,D,3,D,12,D,633,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641584,1,0,1,180,D,1,D,11,D,775,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641584,2,0,1,140,D,1,D,11,D,205,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641754,1,0,1,195,D,1,D,10,D,1800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641854,1,0,1,195,D,1,D,12,D,1600,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642454,1,0,1,140,D,1,D,11,D,1700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642454,2,0,1,160,D,1,D,12,D,800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
