QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CLOTHYD,CLOTHYD_,CLSVGFTC,CLSV_FTC,CLOTHMOD,CLOT_MOD,CLSRVCX,CLSRVCX_,CLOTHD1,CLOTHD1_,CLOTHD2,CLOTHD2_,CLOTHD3,CLOTHD3_,CLOTHD4,CLOTHD4_,CLOTHD5,CLOTHD5_,CLOTHD6,CLOTHD6_,CLOTHD7,CLOTHD7_,CLOTHD8,CLOTHD8_,CLOTHD9,CLOTHD9_
20181,03639914,9,0,1,450,D,1,D,12,D,21,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639974,5,0,1,450,D,1,D,12,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640434,5,0,1,470,D,1,D,12,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640454,5,0,1,470,D,1,D,10,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640514,2,0,1,450,D,1,D,12,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640814,4,0,1,470,D,1,D,11,D,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640844,4,0,1,460,D,1,D,12,D,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640874,16,0,1,450,D,1,D,12,D,8,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640874,17,0,2,470,D,1,D,10,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641284,5,0,1,450,D,1,D,12,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641494,9,0,2,460,D,1,D,10,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642334,3,0,1,480,D,1,D,12,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642344,11,0,1,470,D,1,D,12,D,107,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642724,6,0,1,460,D,1,D,10,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642724,7,0,1,460,D,1,D,11,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642724,8,0,1,460,D,1,D,12,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642824,10,0,1,450,D,1,D,12,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642904,2,0,1,450,D,1,D,12,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642904,3,0,1,460,D,1,D,11,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643764,8,0,1,450,D,1,D,11,D,21,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643764,9,0,1,470,D,1,D,12,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644034,9,0,1,470,D,1,D,12,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644794,3,0,1,470,D,1,D,12,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644884,9,0,1,450,D,1,D,10,D,85,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644884,10,0,1,450,D,1,D,11,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644904,6,0,1,460,D,1,D,12,D,22,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03646384,13,0,1,460,D,1,D,10,D,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03646384,14,0,1,450,D,1,D,10,D,13,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03646614,8,0,1,450,D,1,D,12,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03646944,6,0,1,470,D,1,D,11,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03647044,2,0,1,450,D,1,D,10,D,225,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03647224,5,0,2,470,D,1,D,10,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03647594,3,0,1,460,D,1,D,12,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03648414,4,0,1,450,D,1,D,12,D,245,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03649084,3,0,1,470,D,1,D,10,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03649134,4,0,1,460,D,1,D,12,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03649864,20,0,2,450,D,1,D,10,D,37,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03649924,5,0,1,470,D,1,D,01,D,33,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03650264,4,0,1,450,D,1,D,01,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03650394,11,0,1,450,D,1,D,11,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03651294,4,0,2,470,D,1,D,11,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03651474,27,0,1,460,D,1,D,12,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03652164,1,0,2,450,D,1,D,11,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03653324,6,0,1,450,D,1,D,12,D,135,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03654544,3,0,1,470,D,1,D,01,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03655074,8,0,1,470,D,1,D,01,D,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03655454,21,0,1,470,D,1,D,12,D,11,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03656354,5,0,1,460,D,1,D,12,D,21,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03656374,6,0,1,450,D,1,D,12,D,16,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03656814,2,0,1,470,D,1,D,12,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03656884,6,0,2,450,D,1,D,11,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03659684,6,0,2,470,D,1,D,11,D,24,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
