QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CONTCODE,CONT_ODE,CONTMO,CONTMO_,CONTEXPX,CONT_XPX
20181,03639434,7,0,1,170,D,12,D,200,D
20181,03639434,8,0,1,150,D,13,D,400,D
20181,03639444,1,0,1,150,D,13,D,10,D
20181,03639544,3,0,1,170,D,12,D,300,D
20181,03639544,4,0,1,150,D,12,D,420,D
20181,03639544,5,0,1,160,D,11,D,80,D
20181,03639564,3,0,1,170,D,12,D,1000,D
20181,03639564,4,0,1,130,D,12,D,200,D
20181,03639564,5,0,1,160,D,12,D,250,D
20181,03639564,6,0,1,160,D,12,D,200,D
20181,03639594,3,0,1,150,D,13,D,20,D
20181,03639614,11,0,1,170,D,11,D,1000,D
20181,03639614,12,0,2,170,D,10,D,1000,D
20181,03639624,8,0,2,170,D,10,D,100,D
20181,03639634,3,0,1,160,D,12,D,200,D
20181,03639734,4,0,1,170,D,12,D,200,D
20181,03639734,5,0,1,150,D,13,D,500,D
20181,03639754,2,0,1,150,D,13,D,100,D
20181,03639754,3,0,1,160,D,13,D,80,D
20181,03639794,1,0,1,150,D,13,D,5000,D
20181,03639814,12,0,1,150,D,13,D,400,D
20181,03640004,1,0,1,170,D,12,D,60,D
20181,03640044,4,0,1,100,D,13,D,1500,D
20181,03640054,8,0,1,150,D,13,D,150,D
20181,03640054,9,0,1,160,D,13,D,50,D
20181,03640114,4,0,1,170,D,12,D,25,D
20181,03640134,5,0,1,160,D,13,D,25,D
20181,03640134,6,0,2,170,D,10,D,700,D
20181,03640134,7,0,2,170,D,10,D,600,D
20181,03640174,6,0,1,150,D,13,D,800,D
20181,03640174,7,0,1,160,D,13,D,200,D
20181,03640214,5,0,1,170,D,11,D,50,D
20181,03640214,6,0,1,170,D,12,D,20,D
20181,03640214,7,0,1,170,D,12,D,200,D
20181,03640214,8,0,1,160,D,12,D,15,D
20181,03640284,1,0,1,170,D,13,D,5,D
20181,03640304,5,0,1,150,D,13,D,400,D
20181,03640304,6,0,2,150,D,10,D,400,D
20181,03640344,5,0,1,170,D,13,D,60,D
20181,03640344,6,0,1,170,D,12,D,120,D
20181,03640364,2,0,1,150,D,13,D,40,D
20181,03640374,3,0,1,160,D,12,D,200,D
20181,03640434,6,0,1,150,D,13,D,200,D
20181,03640514,3,0,1,170,D,11,D,300,D
20181,03640514,4,0,1,170,D,12,D,10,D
20181,03640514,5,0,1,160,D,11,D,200,D
20181,03640524,1,0,1,170,D,10,D,500,D
20181,03640524,2,0,1,160,D,12,D,100,D
20181,03640534,4,0,1,160,D,12,D,25,D
20181,03640614,4,0,1,150,D,13,D,300,D
20181,03640664,3,0,1,150,D,13,D,250,D
20181,03640704,4,0,1,150,D,13,D,40,D
20181,03640744,14,0,1,160,D,11,D,25,D
20181,03640764,1,0,1,170,D,12,D,600,D
20181,03640764,2,0,1,160,D,13,D,21,D
20181,03640774,6,0,1,160,D,13,D,100,D
20181,03640784,8,0,1,150,D,13,D,400,D
20181,03640784,9,0,1,150,D,12,D,450,D
20181,03640784,10,0,1,160,D,13,D,20,D
20181,03640784,11,0,2,150,D,10,D,450,D
20181,03640814,5,0,1,160,D,11,D,50,D
20181,03640834,8,0,1,160,D,10,D,200,D
20181,03640834,9,0,1,160,D,11,D,150,D
20181,03640874,18,0,1,170,D,13,D,85,D
20181,03640874,19,0,1,170,D,12,D,400,D
20181,03640874,20,0,1,150,D,13,D,4,D
20181,03640874,21,0,1,150,D,13,D,100,D
20181,03640874,22,0,1,160,D,13,D,750,D
20181,03640874,23,0,1,160,D,13,D,112,D
20181,03640874,24,0,1,160,D,12,D,100,D
20181,03640904,3,0,1,150,D,13,D,100,D
20181,03640904,4,0,1,160,D,13,D,30,D
20181,03641044,3,0,1,170,D,12,D,1600,D
20181,03641044,4,0,1,150,D,13,D,500,D
20181,03641044,5,0,1,160,D,13,D,100,D
20181,03641104,6,0,1,110,D,13,D,471,F
20181,03641134,11,0,1,170,D,12,D,50,D
20181,03641134,12,0,1,160,D,12,D,10,D
20181,03641154,3,0,1,160,D,12,D,750,D
20181,03641204,6,0,1,170,D,12,D,200,D
20181,03641204,7,0,1,160,D,12,D,50,D
20181,03641244,2,0,1,150,D,13,D,50,D
20181,03641284,6,0,1,150,D,13,D,25,D
20181,03641404,1,0,1,160,D,13,D,25,D
20181,03641434,4,0,1,150,D,13,D,250,D
20181,03641464,6,0,1,110,D,13,D,500,D
20181,03641474,10,0,1,160,D,11,D,500,D
20181,03641474,11,0,1,160,D,12,D,100,D
20181,03641474,12,0,1,160,D,12,D,50,D
20181,03641504,1,0,1,170,D,13,D,40,D
20181,03641584,7,0,1,150,D,12,D,11000,D
20181,03641584,8,0,1,160,D,12,D,200,D
20181,03641674,7,0,1,100,D,13,D,350,D
20181,03641674,8,0,1,150,D,10,D,370,F
20181,03641674,9,0,1,160,D,12,D,265,F
20181,03641684,1,0,1,160,D,12,D,300,D
20181,03641714,5,0,1,150,D,13,D,150,D
20181,03641754,4,0,1,110,D,13,D,221,D
20181,03641814,3,0,1,170,D,12,D,1500,D
20181,03641814,4,0,1,160,D,12,D,100,D
20181,03641814,5,0,1,160,D,13,D,28,D
20181,03641814,6,0,1,160,D,12,D,150,D
20181,03641854,5,0,1,170,D,13,D,200,D
20181,03641854,6,0,1,160,D,12,D,1500,D
20181,03641854,7,0,1,150,D,12,D,500,D
20181,03641874,27,0,1,170,D,10,D,190,D
20181,03641874,28,0,1,170,D,11,D,120,D
20181,03641874,29,0,1,170,D,12,D,270,D
20181,03641874,30,0,1,130,D,10,D,50,D
20181,03641874,31,0,1,150,D,10,D,255,D
20181,03641874,32,0,1,150,D,11,D,360,D
20181,03641874,33,0,1,150,D,12,D,320,D
20181,03641874,34,0,1,130,D,12,D,12,D
20181,03641874,35,0,1,130,D,12,D,180,D
20181,03641874,36,0,1,160,D,10,D,136,D
20181,03641914,4,0,1,150,D,13,D,550,D
20181,03641934,4,0,1,170,D,11,D,50,D
20181,03641934,5,0,1,170,D,12,D,230,D
20181,03641934,6,0,1,170,D,10,D,60,D
20181,03642034,2,0,1,160,D,13,D,137,F
20181,03642064,3,0,1,160,D,10,D,200,D
20181,03642064,4,0,1,150,D,13,D,234,F
20181,03642174,2,0,1,160,D,11,D,2000,D
20181,03642174,3,0,1,160,D,12,D,1000,D
20181,03642204,1,0,1,150,D,13,D,150,D
20181,03642204,2,0,1,160,D,12,D,50,D
20181,03642214,1,0,1,170,D,12,D,5000,D
20181,03642214,2,0,1,150,D,13,D,100,D
20181,03642214,3,0,1,160,D,13,D,50,D
20181,03642254,3,0,1,170,D,12,D,10,D
20181,03642254,4,0,1,150,D,12,D,5,D
20181,03642254,5,0,1,160,D,13,D,30,D
20181,03642294,1,0,1,150,D,13,D,200,D
20181,03642304,5,0,1,170,D,12,D,100,D
20181,03642314,4,0,1,160,D,12,D,50,D
20181,03642334,4,0,1,150,D,13,D,100,D
20181,03642344,12,0,1,170,D,12,D,100,D
20181,03642344,13,0,1,170,D,11,D,75,D
20181,03642344,14,0,1,150,D,13,D,500,D
