QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,CRMCODEA,CRMC_DEA,ADVMATX,ADVMATX_,MATNSPCX,MATN_PCX,CRMCDA1,CRMCDA1_,CRMCDA2,CRMCDA2_,CRMCDA3,CRMCDA3_,CRMCDA4,CRMCDA4_,CRMCDA5,CRMCDA5_,CRMCDA6,CRMCDA6_,CRMCDA7,CRMCDA7_,CRMCDA8,CRMCDA8_,CRMCDA9,CRMCDA9_
20181,03639634,4,0,1,280,D,37,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641064,3,0,1,130,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641494,10,0,1,200,D,48,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641714,6,0,1,,A,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642404,7,0,1,235,D,1800,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642504,8,0,1,,A,,A,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642724,11,0,1,260,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03643144,11,0,1,,A,,A,270,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03644654,11,0,1,,A,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03645404,5,0,1,200,D,7,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03647064,5,0,1,210,D,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03647934,7,0,1,300,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03648204,13,0,1,,A,,A,24,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03650564,8,0,1,300,D,138,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03650954,5,0,1,,A,,A,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03651334,1,0,1,280,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03653774,6,0,1,235,D,750,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03654534,10,0,1,,A,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03655454,26,0,1,175,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03655674,26,0,1,,A,,A,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03656144,9,0,1,,A,,A,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03656724,5,0,1,,A,,A,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03657924,11,0,1,,A,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03658534,13,0,1,300,D,4000,D,45,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03660014,10,0,1,175,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03662124,9,0,1,,A,,A,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03662984,12,0,1,300,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03666834,6,0,1,210,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03667294,3,0,1,130,D,380,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03670154,5,0,1,,A,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03671124,5,0,1,175,D,325,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03693243,9,0,1,,A,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03694483,1,0,1,,A,,A,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03696773,14,0,1,,A,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03697673,13,0,1,,A,,A,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
