QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,EDUC_AY,EDUC_AY_,EDUCGFTC,EDUC_FTC,EDSCHL_A,EDSC_L_A,EDMONTHA,EDMO_THA,EDREIMBX,EDRE_MBX,JEDUCNET,JEDU_NET,EDUC_A1,EDUC_A1_,EDUC_A2,EDUC_A2_,EDUC_A3,EDUC_A3_,EDUC_A4,EDUC_A4_,EDUC_A5,EDUC_A5_,EDUC_A6,EDUC_A6_,EDUC_A7,EDUC_A7_,EDUC_A8,EDUC_A8_,EDUC_A9,EDUC_A9_
20181,03639434,9,0,1,200,D,1,D,,A,13,D,,A,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639974,10,0,1,100,D,1,D,,A,12,D,,A,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640044,5,0,1,300,D,2,D,1,D,13,D,,A,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640054,12,0,1,200,D,1,D,,A,13,D,1248,D,552,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640054,13,0,1,100,D,1,D,,A,13,D,,A,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640134,8,0,1,300,D,2,D,1,D,10,D,,A,185,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640304,7,0,1,380,D,1,D,,A,11,D,,A,,H,345,D,360,D,,A,,A,,A,,A,,A,,A,,A
20181,03640304,7,1,1,345,D,1,D,,A,11,D,,A,100,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640304,7,2,1,360,D,1,D,,A,11,D,,A,30,E,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640414,9,0,1,200,D,1,D,,A,13,D,,A,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640414,10,0,1,350,D,1,D,4,D,12,D,,A,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640454,6,0,1,350,D,1,D,1,D,10,D,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640664,4,0,1,100,D,1,D,,A,13,D,,A,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640744,18,0,1,360,D,1,D,,A,10,D,,A,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640784,12,0,1,100,D,1,D,,A,13,D,,A,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640784,13,0,1,345,D,1,D,,A,11,D,,A,205,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640784,14,0,1,345,D,1,D,,A,12,D,,A,205,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640784,15,0,2,345,D,1,D,,A,10,D,,A,205,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640834,11,0,1,100,D,1,D,,A,10,D,,A,225,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640904,5,0,1,100,D,1,D,,A,12,D,,A,175,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640904,6,0,1,200,D,1,D,,A,13,D,,A,225,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640994,11,0,1,200,D,1,D,,A,12,D,,A,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641084,7,0,1,350,D,1,D,2,D,10,D,,A,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641084,8,0,1,350,D,2,D,5,D,12,D,,A,150,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641204,8,0,1,100,D,1,D,,A,13,D,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641204,9,0,1,200,D,1,D,,A,13,D,,A,1500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641204,10,0,2,360,D,1,D,,A,10,D,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641674,10,0,1,300,D,1,D,1,D,13,D,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641874,39,0,1,100,D,1,D,,A,10,D,,A,175,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641874,40,0,1,100,D,1,D,,A,11,D,,A,17,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03641874,41,0,1,360,D,1,D,,A,11,D,,A,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642104,11,0,1,360,D,1,D,,A,12,D,,A,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642304,6,0,1,300,D,1,D,1,D,13,D,,A,1700,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642304,7,0,1,350,D,1,D,1,D,13,D,,A,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642354,9,0,1,200,D,1,D,,A,13,D,,A,260,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642394,6,0,1,360,D,1,D,,A,12,D,,A,300,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642424,13,0,1,200,D,1,D,,A,13,D,,A,5,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642424,14,0,1,360,D,1,D,,A,12,D,,A,18,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642614,17,0,1,360,D,1,D,,A,12,D,,A,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642774,6,0,1,350,D,1,D,1,D,12,D,,A,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642774,7,0,1,350,D,1,D,1,D,12,D,,A,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642784,5,0,1,200,D,1,D,,A,13,D,,A,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642784,6,0,1,200,D,1,D,,A,13,D,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642784,7,0,2,200,D,1,D,,A,10,D,,A,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642824,11,0,1,200,D,1,D,,A,10,D,,A,480,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642824,12,0,1,200,D,1,D,,A,11,D,,A,480,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642824,13,0,1,200,D,1,D,,A,12,D,,A,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642824,14,0,1,300,D,1,D,1,D,13,D,,A,62,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03642904,5,0,1,360,D,1,D,,A,10,D,,A,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
