QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,APPRPRYB,APPR_RYB,SRVCMOB,SRVCMOB_,REPAIRX,REPAIRX_,APPRPB1,APPRPB1_,APPRPB2,APPRPB2_,APPRPB3,APPRPB3_,APPRPB4,APPRPB4_,APPRPB5,APPRPB5_,APPRPB6,APPRPB6_,APPRPB7,APPRPB7_,APPRPB8,APPRPB8_,APPRPB9,EQBPURCH,APPRPB9_
20181,03639434,10,0,1,200,D,10,D,61,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639434,11,0,1,200,D,11,D,61,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639434,12,0,1,200,D,12,D,61,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639434,13,0,2,200,D,10,D,61,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639504,2,0,1,190,D,10,D,230,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639564,7,0,1,190,D,10,D,361,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639874,3,0,1,190,D,12,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639974,11,0,1,200,D,11,D,165,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639974,12,0,1,190,D,12,D,82,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639974,13,0,2,190,D,10,D,82,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03640434,7,0,1,200,D,11,D,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03640874,25,0,1,130,D,11,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03640874,26,0,1,200,D,10,D,80,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03641084,9,0,2,100,D,10,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03641154,9,0,1,170,D,10,D,539,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03641204,11,0,1,190,D,12,D,94,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03641284,7,0,1,130,D,10,D,90,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03641474,13,0,1,100,D,10,D,29,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03641474,14,0,1,130,D,11,D,278,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03641714,7,0,1,190,D,10,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03641714,8,0,1,190,D,12,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03641874,42,0,1,110,D,11,D,280,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03641874,43,0,1,140,D,10,D,170,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03642054,2,0,1,190,D,10,D,11,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03642054,3,0,1,190,D,11,D,11,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
