QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,FURNRNTX,FURN_NTX,REPFURNX,REPF_RNX,REPPURCH
20181,03639774,1,0,1,,A,,A,
20181,03642344,22,0,1,75,D,,A,
20181,03642784,22,0,1,90,D,,A,
20181,03648084,13,0,1,2000,D,,A,
20181,03648494,1,0,1,,A,,A,
20181,03652834,6,0,1,,A,250,D,
20181,03653634,25,0,1,,A,35,D,
20181,03654864,12,0,1,,A,10,D,
20181,03658704,11,0,1,,A,320,D,
20181,03660624,18,0,1,,A,42,D,
20181,03660774,1,0,1,,A,,A,
20181,03662564,11,0,1,,A,20,D,
20181,03666724,7,0,1,102,D,,A,
20181,03670354,4,0,1,,A,150,D,
20181,03670554,16,0,1,,A,55,D,
20181,03670844,1,0,1,,A,,A,
20181,03694123,11,0,1,125,D,,A,
20181,03694783,4,0,1,,A,560,D,
20181,03698183,20,0,1,,A,408,D,
20181,03699183,17,0,1,,A,100,D,
20181,03717983,3,0,1,,A,,A,
20181,03718833,10,0,1,30,D,,A,
20181,03719803,3,0,1,420,D,,A,
20181,03721263,33,0,1,,A,450,D,
20181,03721683,9,0,1,10,D,,A,
20181,03723143,33,0,1,,A,90,D,
20181,03723253,7,0,1,,A,100,D,
20181,03737164,1,0,1,,A,,A,
20181,03737853,8,0,1,,A,500,D,
20181,03743823,8,0,1,560,D,,A,
20181,03755292,6,0,1,453,D,,A,
20181,03758782,20,0,1,,A,450,D,
20181,03759802,47,0,1,364,D,,A,
20181,03760692,7,0,1,150,D,,A,
20181,03760992,15,0,1,,A,100,D,
20181,03761272,10,0,1,,A,10,D,
20181,03763562,5,0,1,,A,200,D,
20181,03765452,2,0,1,,A,30,D,
20181,03776552,2,0,1,,A,175,D,
20181,03778162,1,0,1,,A,,A,
20181,03779242,13,0,1,,A,80,D,
20181,03779642,22,0,1,321,D,,A,
20181,03782992,8,0,1,,A,12,D,
20181,03783602,1,0,1,357,D,,A,
20181,03783742,14,0,1,,A,50,D,
20181,03786682,4,0,1,8,D,,A,
20181,03786792,6,0,1,,A,75,D,
20181,03797622,7,0,1,,A,50,D,
20181,03799382,1,0,1,,A,,A,
20181,03800252,3,0,1,,A,4,D,
20181,03803172,5,0,1,,A,100,D,
20181,03803622,33,0,1,,A,2000,D,
20181,03805842,16,0,1,,A,80,D,
20181,03820381,26,0,1,,A,400,D,
20181,03820661,4,0,1,300,D,,A,
20181,03820661,11,0,1,300,D,,A,
20181,03823201,9,0,1,,A,300,D,
20181,03823661,13,0,1,,A,70,D,
20181,03828321,2,0,1,,A,,A,
20181,03828981,4,0,1,,A,150,D,
20181,03840451,5,0,1,,A,470,D,
20181,03845651,4,0,1,,A,394,D,
20181,03847151,5,0,1,600,D,,A,
20181,03847661,1,0,1,,A,,A,
20181,03852311,2,0,1,350,D,,A,
20181,03853601,1,0,1,,A,,A,
20181,03854251,22,0,1,480,D,,A,
20181,03854751,13,0,1,1450,D,,A,
