QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOG,PROP0NOG,OWNYG,OWNYG_,NEWMRTG,NEWMRTG_,ORGMRTG,ORGMRTG_,QMRTTRMG,QMRT_RMG,MRTPMTG,MRTPMTG_,PAYPRTXG,PAYP_TXG,PAYPRING,PAYP_ING,PAYMRING,PAYM_ING,PAYOTHRG,PAYO_HRG,QESCROWG,QESC_OWG,QPRINM1G,QPRI_M1G,QPRINM2G,QPRI_M2G,QPRINM3G,QPRI_M3G,QADINT1G,QADI_T1G,QADINT2G,QADI_T2G,QADINT3G,QADI_T3G,QRFINDTG,QRFI_DTG,FRSTPYMG,FRST_YMG,FRSTPYRG,FRST_YRG,FIXDRTEG,FIXD_TEG,QNEWDATG,QNEW_ATG,QBLNCM1G,QBLN_M1G,QBLNCM2G,QBLN_M2G,QBLNCM3G,QBLN_M3G,LOAN_NOG,LOAN0NOG,VARRTEG,VARRTEG_,INTONLYG,INTO_LYG,OTHRTEG,OTHRTEG_,PAYMT1G,PAYMT1G_,PAYMT2G,PAYMT2G_,PAYMT3G,PAYMT3G_,PAYPRNPG,PAYP_NPG,PAYINTG,PAYINTG_
20181,03641874,87,0,5,01,D,100,D,.0859,D,27638,D,10,D,344,D,,A,,A,,A,,A,0,D,231,D,232,D,234,D,113,D,112,D,110,D,,A,06,D,2012,D,1,D,,A,15825,D,15595,D,15362,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20181,03643624,13,0,5,01,D,100,D,.0400,D,45000,D,15,D,900,D,3,D,4,D,5,D,,A,567,D,,A,,A,191,D,,A,,A,142,D,,A,11,D,2016,D,1,D,122017,D,,A,,A,42573,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20181,03643624,30,0,5,01,D,100,D,.0400,D,45000,D,15,D,867,D,3,D,4,D,5,D,,A,534,D,190,D,190,D,,A,143,D,143,D,,A,122017,D,11,D,2016,D,1,D,,A,42953,D,42763,D,,A,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20181,03644534,18,0,5,01,D,100,D,.0400,F,25000,F,15,F,200,F,,B,,B,,B,,B,15,F,119,F,120,F,120,F,66,F,65,F,65,F,,A,10,F,2013,F,1,F,,A,19717,F,19598,F,19478,F,01,D,,A,,A,,A,,A,,A,,A,,C,,A
20181,03644654,40,0,5,01,D,100,D,.0400,D,50000,D,12,D,529,D,,B,,B,,B,,B,91,D,284,D,285,D,286,D,154,D,153,D,152,D,,A,08,D,2016,D,1,D,,A,46118,D,45834,D,45548,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20181,03647974,30,0,5,01,D,100,D,.0859,D,30128,D,10,D,375,D,,A,,A,,A,,A,0,D,309,D,312,D,314,D,66,D,63,D,61,D,,A,01,D,2010,D,1,D,,A,9176,D,8867,D,8555,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20181,03648534,22,0,5,01,D,100,D,.0859,D,55253,D,5,D,1136,D,3,D,4,D,,A,,A,0,D,978,D,985,D,992,D,158,D,151,D,144,D,,A,07,D,2014,D,1,D,,A,22076,D,21098,D,20113,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20181,03649704,19,0,5,01,D,100,D,.0859,F,35000,F,15,F,347,F,,A,,A,,A,,A,0,F,84,F,85,F,85,F,181,F,180,F,180,F,,A,03,F,2016,F,2,F,,A,33054,F,32944,F,32834,F,01,D,,A,,A,,A,265,F,265,F,265,F,1,D,2,D
20181,03657334,19,0,5,01,D,100,D,.0859,D,97675,D,15,D,967,D,,A,,A,,A,,A,0,D,391,D,394,D,396,D,576,D,573,D,571,D,,A,06,D,2013,D,1,D,,A,80487,D,80096,D,79702,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D
20181,03657334,20,0,5,01,D,100,D,.0859,D,38652,D,12,D,431,D,,A,,A,,A,,A,0,D,162,D,163,D,165,D,269,D,268,D,266,D,,A,04,D,2017,D,1,D,,A,37548,D,37386,D,37223,D,02,D,,A,,A,,A,,A,,A,,A,1,D,2,D
