QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,LSDNUM,LSDNUM_,LSDCODE,LSDCODE_,MODELYR,MODELYR_,PRCBSNSZ,PRCB_NSZ,NUMPAY,NUMPAY_,PMTMONTH,PMTM_NTH,PAYEXPX,PAYEXPX_,PAYTIME,PAYTIME_,EMPLYEXP,EMPL_EXP,TRADEEXP,TRAD_EXP,DOWNEXP,DOWNEXP_,DNEMPEXP,DNEM_EXP,LSDENDMO,LSDE_DMO,QADPMT1X,QADP_T1X,QADPMT2X,QADP_T2X,QADPMT3X,QADP_T3X,QEXTRA1X,QEXT_A1X,QEXTRA2X,QEXT_A2X,QEXTRA3X,QEXT_A3X,QADDOWNX,QADD_WNX,QADFEEX,QADFEEX_,LSD__AKE,LSDENDYR,LSDE_DYR,PMTYEAR,PMTYEAR_,LSD_MAKE
20181,03640534,13,0,5,01,D,105,D,2016,D,,A,36,D,06,D,336,D,3,D,,A,,C,,A,,A,,A,336,D,336,D,336,D,,A,,A,,A,,A,,A,D,,A,2016,D,MAZ
20181,03641144,12,0,5,01,D,105,D,2016,D,,A,36,D,07,D,343,D,3,D,,A,,A,,A,,A,,A,343,D,343,D,343,D,,A,,A,,A,,A,,A,D,,A,2016,D,NIS
20181,03641714,21,0,5,01,D,105,D,2016,D,,A,24,D,02,D,199,D,3,D,,A,2500,D,,A,,A,12,D,199,D,199,D,199,D,,A,,A,,A,,A,380,F,D,,A,2016,D,TOY
20181,03641714,22,0,1,02,D,105,D,2018,D,,A,36,D,01,D,291,D,3,D,,A,,A,4000,D,,A,,A,,A,,A,,A,,A,,A,,A,4000,D,,A,D,,A,2018,D,TOY
20181,03641814,17,0,5,01,D,105,D,2016,D,,A,36,D,06,D,664,D,3,D,,A,,A,,A,,A,,A,664,D,664,D,664,D,,A,,A,,A,,A,,A,D,,A,2016,D,LIN
20181,03642244,35,0,5,02,D,105,D,2015,D,,A,36,D,08,D,211,D,3,D,,A,,A,,A,,A,,A,211,D,211,D,211,D,28,D,28,D,28,D,,A,,A,D,,A,2017,D,FOR
20181,03642464,10,0,5,01,D,105,D,2016,D,,A,24,D,01,D,91,D,3,D,,A,,A,2500,D,,A,12,F,91,D,91,D,91,D,1,D,1,D,1,D,2500,D,,A,D,,A,2016,D,TOY
20181,03642464,11,0,1,02,D,105,D,2018,D,,A,36,D,02,D,190,D,3,D,,A,,A,2600,D,,A,,A,,A,,A,,A,,A,,A,,A,2600,D,,A,D,,A,2018,D,TOY
20181,03642474,16,0,5,01,D,105,D,2017,D,,A,36,D,06,D,226,D,3,D,,A,,A,,A,,A,,A,226,D,226,D,226,D,,A,,A,,A,,A,,A,D,,A,2017,D,NIS
20181,03642714,24,0,5,01,D,105,D,2017,D,,A,36,D,11,D,340,D,3,D,,A,2000,D,3000,D,,A,,A,340,D,340,D,340,D,,A,,A,,A,3000,D,,A,D,,A,2016,D,FOR
20181,03642724,23,0,5,01,D,105,D,2016,D,,A,36,D,12,D,500,D,3,D,,A,,A,,A,,A,,A,500,D,500,D,500,D,,A,,A,,A,,A,,A,D,,A,2016,D,LEX
20181,03643374,11,0,1,01,D,105,D,2018,D,,A,36,D,02,D,370,D,3,D,,A,15000,D,3000,D,,A,,A,370,D,370,D,370,D,,A,,A,,A,3000,D,,A,D,,A,2018,D,BUI
20181,03645914,10,0,5,01,D,105,D,2017,D,,A,24,D,05,D,390,D,3,D,,A,,A,1500,D,,A,,A,390,D,390,D,390,D,,A,,A,,A,1500,D,,A,D,,A,2017,D,NIS
20181,03645914,11,0,5,02,D,105,D,2016,D,,A,36,D,05,D,269,D,3,D,,A,,A,1500,D,,A,12,D,269,D,269,D,269,D,,A,,A,,A,1500,D,,A,D,,A,2016,D,CHR
20181,03646054,15,0,5,01,D,105,D,2015,D,,A,48,D,01,D,230,D,3,D,,A,,A,,A,,A,,A,230,D,230,D,230,D,30,D,30,D,30,D,,A,,A,D,,A,2016,D,HYU
20181,03646314,7,0,5,01,D,105,D,2017,D,,A,,C,03,D,400,D,3,D,,A,,A,500,D,,A,,A,400,D,400,D,400,D,,A,,A,,A,500,D,,A,D,,A,2017,D,FOR
20181,03646574,8,0,5,01,D,105,D,2015,D,,A,60,D,05,F,355,D,3,D,,A,,A,,A,,A,,A,355,D,355,D,355,D,,A,,A,,A,,A,,A,D,,A,2015,D,KIA
20181,03646734,8,0,5,01,D,105,D,2016,D,,A,36,D,07,D,300,D,3,D,,A,,A,2000,D,,A,,A,300,D,300,D,300,D,,A,,A,,A,2000,D,,A,D,,A,2016,D,HON
20181,03646824,17,0,5,01,D,105,D,2016,D,,A,36,D,01,D,350,D,3,D,,A,,A,100,D,,A,,A,350,D,350,D,350,D,,A,,A,,A,100,D,,A,D,,A,2016,D,DOD
20181,03647594,18,0,1,01,D,105,D,2017,D,,A,36,D,12,D,260,D,3,D,,A,,A,2000,D,,A,,A,,A,,A,260,D,,A,,A,,A,2000,D,,A,D,,A,2017,D,KIA
20181,03647814,17,0,5,01,D,105,D,2016,D,,A,36,D,02,D,375,D,3,D,,A,,A,,A,,A,11,D,375,D,375,D,,A,,A,,A,,A,,A,,A,D,,A,2016,D,LIN
20181,03647814,18,0,5,02,D,105,D,2016,D,,A,36,D,06,D,,C,3,D,,A,,A,,A,,A,,A,230,F,230,F,230,F,,A,,A,,A,,A,,A,D,,A,2016,D,DOD
20181,03647814,19,0,1,03,D,105,D,2017,D,,A,36,D,11,D,289,D,3,D,,A,,A,,A,,A,,A,,A,289,D,289,D,,A,,A,,A,,A,,A,D,,A,2017,D,LIN
20181,03647974,16,0,5,01,D,105,D,2017,D,,A,39,D,03,D,468,D,3,D,,A,,A,,A,,A,,A,468,D,468,D,468,D,,A,,A,,A,,A,,A,D,,A,2017,D,CHE
20181,03647974,18,0,5,03,D,105,D,2017,D,,A,36,D,06,D,450,D,3,D,,A,,A,,A,,A,,A,450,D,450,D,450,D,,A,,A,,A,,A,,A,D,,A,2017,D,CHE
20181,03648054,10,0,5,01,D,105,D,2015,D,,A,36,D,04,D,250,D,3,D,,A,,C,,A,,A,,A,250,D,250,D,250,D,,A,,A,,A,,A,,A,D,,A,2016,D,FOR
20181,03648204,24,0,5,01,D,105,D,2016,D,,A,72,D,06,D,330,D,3,D,,A,,A,1500,D,,A,,A,330,D,330,D,330,D,,A,,A,,A,1500,D,,A,D,,A,2017,D,TOY
20181,03648364,11,0,5,01,D,105,D,2015,D,,A,3,D,01,F,350,D,3,D,,A,,A,,A,,A,,A,350,D,350,D,350,D,,A,,A,,A,,A,,A,D,,A,2016,D,CHE
20181,03648484,19,0,5,01,D,105,D,2016,D,,A,36,D,04,D,430,D,3,D,,A,,A,1100,D,,A,,A,430,D,430,D,430,D,,A,,A,,A,1100,D,,A,D,,A,2016,D,LIN
20181,03648494,4,0,5,01,D,105,D,2017,D,,A,,C,04,F,,C,3,D,,A,,A,,A,,A,,A,150,F,150,F,150,F,,A,,A,,A,,A,,A,D,,A,2017,D,GMC
20181,03648934,22,0,5,02,D,105,D,2017,D,,A,36,D,01,D,233,D,3,D,,A,,A,1000,D,,A,,A,233,D,233,D,233,D,,A,,A,,A,1000,D,,A,D,,A,2017,D,SUB
20181,03649054,34,0,5,01,D,105,D,2016,D,,A,42,D,07,D,277,D,3,D,,A,,A,,A,,A,,A,277,D,277,D,277,D,,A,,A,,A,,A,,A,D,,A,2016,D,CHE
20181,03649864,43,0,1,01,D,105,D,2017,D,,A,24,D,01,D,199,D,3,D,,A,3000,D,550,D,,A,,A,,A,,A,,A,,A,,A,,A,550,D,,A,D,,A,2018,D,GMC
20181,03650184,28,0,5,01,D,105,D,2017,D,,A,,C,01,D,469,D,3,D,,A,,A,2000,D,,A,,A,469,D,469,D,469,D,,A,,A,,A,2000,D,,A,D,,A,2017,D,JEE
20181,03650354,19,0,5,01,D,105,D,2016,D,,A,36,D,03,D,222,D,3,D,,A,,A,1000,D,,A,,A,222,D,222,D,222,D,,A,,A,,A,1000,D,,A,D,,A,2016,D,VOK
20181,03650394,28,0,5,02,D,105,D,2017,D,,A,39,D,11,D,300,D,3,D,,A,1000,D,,A,,A,,A,300,D,300,D,300,D,,A,,A,,A,,A,,A,D,,A,2017,D,MAZ
20181,03650544,10,0,5,01,D,105,D,2015,D,,A,36,D,07,D,283,D,3,D,,A,,A,3000,D,,A,,A,283,D,283,D,283,D,,A,,A,,A,3000,D,,A,D,,A,2015,D,SUB
20181,03650544,11,0,5,02,D,105,D,2016,D,,A,36,D,09,D,290,D,3,D,,A,,A,3000,D,,A,,A,290,D,290,D,290,D,,A,,A,,A,3000,D,,A,D,,A,2016,D,HON
20181,03650914,13,0,5,01,D,105,D,2014,D,,A,36,D,01,D,290,D,3,D,,A,2000,D,,A,,A,12,D,290,D,290,D,,A,,A,,A,,A,,A,,A,D,,A,2015,D,HON
20181,03651774,13,0,5,01,D,105,D,2015,D,,A,39,D,02,D,379,D,3,D,,A,1500,D,,A,,A,,A,379,D,379,D,379,D,,A,,A,,A,,A,,A,D,,A,2015,D,CHE
20181,03651794,8,0,5,01,D,105,D,2015,D,,A,36,D,03,D,460,D,3,D,,A,,A,2000,D,,A,,A,460,D,460,D,460,D,,A,,A,,A,2000,D,,A,D,,A,2017,D,DOD
20181,03651994,8,0,5,01,D,105,D,2016,D,,A,36,D,09,D,359,D,3,D,,A,,A,2500,D,,A,,A,359,D,359,D,359,D,,A,,A,,A,2500,D,,A,D,,A,2016,D,HON
20181,03653284,8,0,1,01,D,105,D,2016,D,,A,,C,12,F,,C,3,D,,A,,A,,A,,A,,A,400,F,400,F,400,F,,A,,A,,A,,A,,A,A,,A,2016,D,
20181,03653564,19,0,5,02,D,105,D,2017,D,,A,36,D,08,D,,C,3,D,,A,,A,,A,,A,,A,378,F,378,F,378,F,,A,,A,,A,,A,,A,D,,A,2017,D,HON
20181,03653564,20,0,1,03,D,105,D,2018,D,,A,36,D,07,D,256,D,3,D,,A,,A,4000,D,,A,,A,256,D,256,D,256,D,,A,,A,,A,4000,D,,A,D,,A,2017,D,SUB
20181,03654514,11,0,1,01,D,105,D,2017,D,,A,36,D,11,D,189,D,3,D,,A,,A,3000,D,,A,,A,189,D,189,D,189,D,,A,,A,,A,3000,D,,A,D,,A,2017,D,HON
