QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MEDPCARY,MEDP_ARY,MEDPGFTC,MEDP_FTC,MEDPMTMO,MEDP_TMO,MEDPMTX,MEDPMTX_,MEDPCY1,MEDPCY1_,MEDPCY2,MEDPCY2_,MEDPCY3,MEDPCY3_,MEDPCY4,MEDPCY4_,MEDPCY5,MEDPCY5_,MEDPCY6,MEDPCY6_,MEDPCY7,MEDPCY7_,MEDPCY8,MEDPCY8_,MEDPCY9,MEDPCY9_,MEDPPRNT,MEDP_RNT,MEDPNOUT,MEDP_OUT
20181,03639444,7,0,1,410,D,1,D,12,D,1869,T,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20181,03639544,19,0,1,410,D,1,D,12,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,1,D
20181,03639544,20,0,1,620,D,1,D,10,D,77,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639614,25,0,1,620,D,1,D,10,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639634,13,0,1,200,D,1,D,12,D,121,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639634,14,0,1,620,D,1,D,10,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639634,15,0,1,620,D,1,D,12,D,43,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639734,9,0,1,620,D,1,D,13,D,3,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639814,24,0,1,110,D,1,D,10,D,54,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639814,25,0,1,120,D,1,D,10,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639814,26,0,1,420,D,1,D,10,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639814,27,0,1,420,D,1,D,11,D,140,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639814,28,0,1,620,D,1,D,11,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639814,29,0,2,110,D,1,D,10,D,1,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
