QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MISCCODE,MISC_ODE,MISCMO,MISCMO_,MISCGFTC,MISC_FTC,MISCEXPX,MISC_XPX,MISCDE1,MISCDE1_,MISCDE2,MISCDE2_,MISCDE3,MISCDE3_,MISCDE4,MISCDE4_,MISCDE5,MISCDE5_,MISCDE6,MISCDE6_,MISCDE7,MISCDE7_,MISCDE8,MISCDE8_,MISCDE9,MISPURCH,MISCDE9_
20181,03639434,18,0,1,330,D,12,D,1,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639504,13,0,1,370,D,13,D,1,D,60,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639504,14,0,1,140,D,12,D,1,D,28,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639544,21,0,1,140,D,10,D,2,D,43,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639564,18,0,1,140,D,12,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639564,19,0,1,370,D,12,D,1,D,75,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639614,26,0,1,170,D,12,D,1,D,160,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639614,27,0,1,140,D,11,D,1,D,6,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639614,28,0,1,330,D,12,D,2,D,500,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639614,29,0,1,460,D,10,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639624,15,0,1,330,D,12,D,2,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639624,16,0,1,460,D,12,D,2,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639634,16,0,1,150,D,11,D,1,D,450,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639774,4,0,1,240,D,13,D,1,D,114,F,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639794,7,0,1,170,D,13,D,1,D,100,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639794,8,0,2,250,D,10,D,1,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639814,32,0,1,330,D,12,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639814,33,0,1,340,D,12,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639814,34,0,1,460,D,11,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639814,35,0,2,340,D,10,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639814,36,0,2,460,D,10,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639914,19,0,1,330,D,12,D,1,D,10,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639914,20,0,1,240,D,12,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20181,03639914,21,0,1,250,D,12,D,1,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639914,22,0,2,250,D,10,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639914,23,0,2,260,D,10,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03639944,17,0,1,250,D,11,D,1,D,40,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03640004,7,0,1,180,D,13,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03640044,17,0,1,140,D,12,D,1,D,50,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03640054,39,0,1,180,D,13,D,1,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03640054,40,0,1,330,D,12,D,1,D,48,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03640064,9,0,1,330,D,10,D,2,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20181,03640064,10,0,1,330,D,11,D,2,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20181,03640064,11,0,1,330,D,12,D,2,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20181,03640064,12,0,1,340,D,11,D,1,D,15,D,,A,,A,,A,,A,,A,,A,,A,,A,,2,A
20181,03640064,13,0,1,240,D,13,D,1,D,12,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03640104,13,0,1,265,D,13,D,1,D,,H,250,D,260,D,240,D,,A,,A,,A,,A,,A,,,A
20181,03640104,13,1,1,250,D,13,D,1,D,11,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03640104,13,2,1,260,D,13,D,1,D,17,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03640104,13,3,1,240,D,13,D,1,D,7,E,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03640114,17,0,1,380,D,13,D,1,D,88,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03640114,18,0,1,170,D,13,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03640134,21,0,1,240,D,13,D,1,D,25,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03640134,22,0,1,260,D,11,D,1,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03640174,15,0,1,330,D,10,D,1,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03640174,16,0,1,330,D,11,D,1,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03640174,17,0,1,330,D,12,D,1,D,1000,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
20181,03640184,18,0,1,390,D,13,D,1,D,4,D,,A,,A,,A,,A,,A,,A,,A,,A,,,A
