QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOF,PROP0NOF,OWNYF,OWNYF_,NEWMRRT,NEWMRRT_,ORGMRTX,ORGMRTX_,QMRTTERM,QMRT_ERM,MRTPMTX,MRTPMTX_,PAYPROTX,PAYP_OTX,PAYPROIN,PAYP_OIN,PAYMORIN,PAYM_RIN,PAYOTHER,PAYO_HER,QESCROWX,QESC_OWX,QPRINM1X,QPRI_M1X,QPRINM2X,QPRI_M2X,QPRINM3X,QPRI_M3X,QADINT1X,QADI_T1X,QADINT2X,QADI_T2X,QADINT3X,QADI_T3X,QRFINDAT,QRFI_DAT,FRSTPYMO,FRST_YMO,FRSTPYYR,FRST_YYR,FIXEDRTE,FIXE_RTE,QNEWDATE,QNEW_ATE,QBLNCM1X,QBLN_M1X,QBLNCM2X,QBLN_M2X,QBLNCM3X,QBLN_M3X,LOAN_NOF,LOAN0NOF,VARRTE,VARRTE_,INTONLY,INTONLY_,OTHRTE,OTHRTE_,PAYMT1X,PAYMT1X_,PAYMT2X,PAYMT2X_,PAYMT3X,PAYMT3X_,PAYPRINI,PAYP_INI,PAYINT,PAYINT_,REFI,REFI_
20181,03639434,21,0,5,01,D,100,D,.0425,D,243932,D,30,D,1987,D,3,D,,A,,A,,A,787,D,337,D,338,D,340,D,863,D,862,D,860,D,,A,09,D,2017,D,1,D,,A,243596,D,243259,D,242920,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20181,03639444,10,0,5,01,D,100,D,.0784,D,80000,D,30,D,603,D,3,D,4,D,,A,,A,25,D,191,D,192,D,193,D,387,D,386,D,385,D,,A,12,D,2001,D,1,D,,A,59281,D,59091,D,58899,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20181,03639504,17,0,5,01,D,100,D,.0560,D,86000,D,30,D,605,D,3,D,4,D,,A,,A,111,D,107,D,107,D,108,D,387,D,387,D,386,D,,A,04,D,2015,D,1,D,,A,83023,D,82917,D,82810,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20181,03639564,22,0,5,01,D,100,D,.0784,D,160000,D,30,D,3100,D,3,D,4,D,,A,,A,1944,D,168,D,169,D,170,D,988,D,987,D,986,D,,A,06,D,2012,D,1,D,,A,151242,D,151074,D,150905,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20181,03639594,12,0,5,01,D,100,D,.0784,D,179621,D,15,D,1700,D,,A,,A,,A,,A,0,D,1173,D,1181,D,1188,D,527,D,519,D,512,D,,A,07,D,2007,D,1,D,,A,80686,D,79513,D,78333,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20181,03639614,32,0,5,01,D,100,D,.0784,D,77632,D,30,D,561,D,,A,,A,,A,,A,0,D,57,D,58,D,58,D,504,D,503,D,503,D,,A,12,D,2016,D,1,D,,A,77078,D,77020,D,76963,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,1,D
20181,03639624,19,0,5,01,D,100,D,.0620,D,57000,D,30,D,522,D,3,D,4,D,,A,,A,173,D,231,D,232,D,233,D,118,D,117,D,116,D,,A,06,D,1994,D,1,D,,A,22896,D,22665,D,22433,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20181,03639754,12,0,5,01,D,100,D,.0400,D,80000,D,30,D,650,D,3,D,4,D,,A,,A,268,D,136,D,137,D,137,D,246,D,245,D,245,D,,A,08,D,2013,D,1,D,,A,73736,D,73600,D,73463,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20181,03639794,11,0,5,01,D,100,D,.0400,D,251353,D,30,D,1500,D,3,D,4,D,,A,,A,300,D,494,D,495,D,497,D,706,D,705,D,703,D,,A,01,D,2010,D,1,D,,A,211944,D,211451,D,210956,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
20181,03639814,39,0,5,01,D,100,D,.0450,D,184335,D,30,D,1206,D,3,D,4,D,5,D,,A,272,D,270,D,271,D,272,D,664,D,663,D,662,D,,A,06,D,2015,D,1,D,,A,177183,D,176913,D,176642,D,01,D,,A,,A,,A,,A,,A,,A,1,D,2,D,2,D
