QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOB,PROP0NOB,OWNYB,OWNYB_,OBSNSZB,OBSNSZB_,PROPTYPE,PROP_YPE,ACQUIRMO,ACQU_RMO,ACQUIRYR,ACQU_RYR,OWN_PURX,OWN__URX,OWNDPMTX,OWND_MTX,CLOSECST,CLOS_CST,QADPTAX,QADPTAX_,TIMESHAR,TIME_HAR,SHARWKS,SHARWKS_,SHARED1,SHARED1_,SHARPER1,SHAR_ER1,SHARED2,SHARED2_,SHARPER2,SHAR_ER2,GIFTPROP,GIFT_ROP,BSNEXP2,BSNEXP2_,DEEDED,DEEDED_
20181,03639434,20,0,5,01,D,100,D,,A,3,D,04,D,2016,D,,A,,A,,A,2300,D,,A,,A,,A,,A,2,D,,A,,A,,A,,A
20181,03639444,9,0,5,01,D,100,D,,A,3,D,,B,2001,D,,A,,A,,A,1000,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20181,03639504,16,0,5,01,D,100,D,,A,3,D,,B,2015,D,,A,,A,,A,1300,F,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20181,03639544,23,0,5,01,D,100,D,,A,3,D,,B,1967,D,,A,,A,,A,230,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20181,03639564,21,0,5,01,D,100,D,,A,3,D,,B,1976,D,,A,,A,,A,10500,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20181,03639594,11,0,5,01,D,100,D,,A,3,D,,B,2002,D,,A,,A,,A,1300,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20181,03639614,31,0,5,01,D,100,D,,A,3,D,,B,2014,D,,A,,A,,A,3200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20181,03639624,18,0,5,01,D,100,D,,A,3,D,,B,1994,D,,A,,A,,A,1200,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20181,03639634,19,0,5,01,D,100,D,,A,3,D,,B,1984,D,,A,,A,,A,2400,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
20181,03639734,11,0,5,01,D,100,D,,A,3,D,,B,1995,D,,A,,A,,A,900,D,,A,,A,,A,,A,2,D,,A,,A,2,D,,A
