QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,PROP_NOH,PROP0NOH,OWNYH,OWNYH_,PAIDLOAN,PAID_OAN,PRIMPLUS,PRIM_LUS,JINTPDX,JINTPDX_,JLCPRINX,JLCP_INX,LOAN_NOH,LOAN0NOH,TOTOWED,TOTOWED_
20181,03639634,20,0,5,01,D,100,D,2,D,0.0600,D,,A,,A,01,D,0,D
20181,03640364,14,0,5,01,D,100,D,1,D,0.0600,D,270,F,1455,F,01,D,18000,F
20181,03640534,20,0,5,01,D,100,D,1,D,0.0600,D,720,D,780,D,01,D,48000,D
20181,03640744,52,0,5,01,D,100,D,1,D,0.0600,D,1485,D,-471,D,01,D,99000,D
20181,03640784,51,0,5,01,D,100,D,1,D,0.0600,D,249,D,501,D,01,D,16600,D
20181,03640874,77,0,5,01,D,100,D,2,D,0.0600,D,,A,,A,01,D,0,D
20181,03640904,20,0,5,01,D,100,D,2,D,0.0600,D,,A,,A,01,D,0,D
20181,03641134,37,0,5,01,D,100,D,1,D,0.0600,D,375,D,675,D,01,D,25000,D
20181,03641194,14,0,5,01,D,100,D,2,D,0.0600,D,,A,,A,01,D,0,D
20181,03641654,31,0,5,01,D,100,D,1,D,0.0600,D,1020,F,780,F,01,D,68000,F
20181,03641914,22,0,5,01,D,100,D,2,D,0.0600,D,,A,,A,01,D,0,D
20181,03642064,23,0,5,01,D,100,D,2,D,0.0600,D,,A,,A,01,D,0,D
20181,03642344,42,0,5,01,D,100,D,2,D,0.0600,D,,A,,A,01,D,0,D
20181,03642614,39,0,5,01,D,100,D,2,D,0.0600,D,,A,,A,01,D,0,D
20181,03642924,55,0,5,01,D,100,D,1,D,0.0600,D,3670,D,9011,D,01,D,295655,T
20181,03642994,31,0,5,01,D,100,D,1,D,0.0600,D,360,F,19,F,01,D,24000,F
20181,03643634,40,0,5,01,D,100,D,1,D,0.0600,D,300,D,900,D,01,D,20000,D
20181,03644904,27,0,5,01,D,100,D,1,D,0.0600,D,735,D,375,D,01,D,49000,D
20181,03645094,25,0,5,01,D,100,D,1,D,0.0600,D,270,D,1455,D,01,D,18000,D
20181,03645574,16,0,5,01,D,100,D,2,D,0.0600,D,,A,,A,01,D,50000,D
20181,03645654,18,0,5,01,D,100,D,2,D,0.0600,D,,A,,A,01,D,0,D
20181,03646384,50,0,5,01,D,100,D,2,D,0.0600,D,,A,,A,02,D,0,D
20181,03646384,51,0,5,01,D,100,D,2,D,0.0600,D,,A,,A,01,D,0,D
20181,03646814,35,0,5,01,D,100,D,1,D,0.0600,D,38,F,1462,F,01,D,2500,F
20181,03646824,28,0,5,01,D,100,D,2,D,0.0600,D,,A,,A,01,D,0,D
20181,03646944,36,0,5,01,D,100,D,1,D,0.0600,D,2100,D,1500,D,01,D,140000,D
20181,03647024,12,0,5,01,D,100,D,1,D,0.0600,D,570,F,30,F,01,D,38000,F
20181,03648064,19,0,5,01,D,100,D,2,D,0.0600,D,750,F,450,F,01,D,50000,F
20181,03648484,33,0,5,01,D,100,D,1,D,0.0600,D,2085,D,-885,D,01,D,139000,D
20181,03648534,23,0,5,01,D,100,D,2,D,0.0600,D,,A,,A,01,D,151947,D
20181,03649354,42,0,5,01,D,100,D,2,D,0.0600,D,,A,,A,01,D,0,D
20181,03649664,18,0,5,01,D,100,D,2,D,0.0600,D,,A,,A,01,D,0,D
20181,03649704,20,0,5,01,D,100,D,1,D,0.0600,D,900,F,-395,F,01,D,60000,F
20181,03650564,34,0,5,01,D,100,D,2,D,0.0600,D,,A,,A,01,D,0,D
20181,03650614,47,0,5,01,D,200,D,2,D,0.0600,D,,A,,A,01,D,70000,D
20181,03650934,17,0,5,01,D,100,D,2,D,0.0600,D,135,F,1365,F,01,D,9000,F
20181,03651584,16,0,5,01,D,100,D,1,D,0.0600,D,90,D,210,D,01,D,6000,D
20181,03651884,40,0,5,01,D,100,D,1,D,0.0600,D,2,D,148,D,01,D,150,D
20181,03652144,28,0,5,01,D,100,D,1,D,0.0600,D,213,D,2787,D,01,D,14170,D
20181,03652474,27,0,5,01,D,100,D,1,D,0.0600,D,422,D,-87,D,01,D,28133,D
20181,03652684,19,0,5,01,D,100,D,1,D,0.0600,D,405,D,1095,D,01,D,27000,D
20181,03653724,30,0,5,01,D,100,D,1,D,0.0600,D,375,D,525,D,01,D,25000,D
20181,03655624,47,0,5,01,D,100,D,1,D,0.0600,D,489,D,496,D,01,D,32600,D
20181,03655634,22,0,5,01,D,100,D,1,D,0.0600,D,138,D,462,D,01,D,9200,D
20181,03655774,15,0,5,01,D,100,D,1,D,0.0600,D,270,D,1230,D,01,D,18000,D
20181,03655944,22,0,5,01,D,100,D,2,D,0.0600,D,300,F,300,F,01,D,20000,F
