QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VEHICYC,VEHICYC_,VEHDISP,VEHDISP_,VDISPMO,VDISPMO_,SALEX,SALEX_,REIMBURX,REIM_URX,EXREIMBX,EXRE_MBX,LOANSTAT,LOAN_TAT,FINPAYMX,FINP_YMX,VEHICIC,VEHICIC_
20181,03639504,24,0,1,110,D,1,D,10,D,3500,D,,A,,A,2,D,,A,02,D
20181,03639974,33,0,1,100,D,4,D,11,D,,A,21800,D,,A,2,D,,A,01,D
20181,03640284,9,0,1,100,D,4,D,12,D,,A,,A,,A,2,D,,A,01,D
20181,03640494,17,0,1,110,D,4,D,10,D,,A,4600,F,,A,2,D,,A,01,D
20181,03640524,13,0,1,100,D,6,D,12,D,,A,,A,,A,2,D,,A,02,D
20181,03641154,56,0,1,100,D,1,D,10,D,4500,D,,A,,A,2,D,,A,01,D
20181,03641204,38,0,1,110,D,2,D,10,D,,A,,A,,A,2,D,,A,02,D
20181,03641244,25,0,1,110,D,2,D,11,D,,A,,A,,A,2,D,,A,01,D
20181,03641654,40,0,2,110,D,6,D,10,D,,A,,A,,A,2,D,,A,01,D
20181,03641754,40,0,1,110,D,2,D,12,D,,A,,A,,A,1,D,,A,01,D
20181,03642014,10,0,1,110,D,1,D,11,D,300,D,,A,,A,2,D,,A,01,D
20181,03642294,18,0,1,110,D,3,D,11,D,,A,,A,,A,2,D,,A,02,D
20181,03642564,49,0,1,110,D,2,D,11,D,,A,,A,,A,2,D,,A,01,D
20181,03642824,48,0,1,100,D,2,D,11,D,,A,,A,,A,2,D,,A,01,D
20181,03642944,20,0,1,110,D,3,D,12,D,,A,,A,,A,2,D,,A,02,D
20181,03643584,40,0,1,110,D,1,D,12,D,2700,D,,A,,A,2,D,,A,02,D
20181,03643654,19,0,1,110,D,1,D,12,D,27500,F,,A,,A,2,D,,A,01,D
20181,03643904,31,0,1,160,D,3,D,10,D,,A,,A,,A,2,D,,A,04,D
20181,03644124,40,0,1,100,D,3,D,11,D,,A,,A,,A,2,D,,A,04,D
20181,03644134,27,0,1,110,D,2,D,12,D,,A,,A,,A,1,D,28000,D,02,D
20181,03644544,21,0,2,100,D,1,D,10,D,125,D,,A,,A,2,D,,A,01,D
20181,03644674,21,0,1,100,D,,C,12,D,,A,,A,,A,,C,,A,01,D
20181,03645284,43,0,1,110,D,2,D,10,D,,A,,A,,A,1,D,9200,D,01,D
20181,03645414,25,0,1,110,D,2,D,10,D,,A,,A,,A,2,D,,A,02,D
20181,03645744,28,0,1,100,D,4,D,11,D,,A,5900,D,,A,2,D,,A,03,D
20181,03646384,56,0,1,100,D,4,D,10,D,,A,6500,D,,A,2,D,,A,01,D
20181,03646854,32,0,2,100,D,1,D,10,D,1100,D,,A,,A,2,D,,A,05,D
20181,03647114,24,0,1,110,D,1,D,12,D,5000,D,,A,,A,2,D,,A,03,D
20181,03647594,35,0,1,110,D,1,D,11,D,4000,D,,A,,A,2,D,,A,01,D
20181,03647914,30,0,1,120,D,6,D,12,D,,A,,A,,A,2,D,,A,07,D
20181,03647984,64,0,1,110,D,3,D,11,D,,A,,A,,A,2,D,,A,01,D
20181,03649034,16,0,1,100,D,6,D,11,D,,A,,A,,A,,C,,A,01,D
20181,03650614,59,0,1,110,D,1,D,01,D,6000,D,,A,,A,2,D,,A,05,D
20181,03650944,34,0,1,110,D,2,D,11,D,,A,,A,,A,2,D,,A,02,D
20181,03651034,32,0,1,110,D,2,D,01,D,,A,,A,,A,1,D,12000,D,01,D
20181,03651204,20,0,1,110,D,1,D,12,D,800,F,,A,,A,2,D,,A,01,D
20181,03652084,25,0,1,100,D,3,D,12,D,,A,,A,,A,2,D,,A,03,D
20181,03652144,49,0,1,100,D,2,D,01,D,,A,,A,,A,2,D,,A,01,D
20181,03653574,43,0,1,110,D,2,D,01,D,,A,,A,,A,1,D,,A,02,D
20181,03653784,17,0,1,110,D,2,D,11,D,,A,,A,,A,2,D,,A,02,D
20181,03654544,43,0,1,100,D,3,D,12,D,,A,,A,,A,2,D,,A,01,D
20181,03654544,44,0,1,110,D,2,D,12,D,,A,,A,,A,2,D,,A,02,D
20181,03655174,31,0,1,110,D,1,D,01,D,700,D,,A,,A,2,D,,A,03,D
20181,03655564,33,0,1,110,D,6,D,01,D,,A,,A,,A,2,D,,A,01,D
20181,03655794,18,0,1,100,D,3,D,11,D,,A,,A,,A,2,D,,A,01,D
20181,03656444,28,0,1,100,D,1,D,11,D,2500,D,,A,,A,2,D,,A,02,D
20181,03656494,26,0,1,110,D,1,D,12,D,3500,D,,A,,A,2,D,,A,01,D
20181,03657004,20,0,1,110,D,1,D,11,D,1800,D,,A,,A,2,D,,A,01,D
20181,03657484,29,0,1,100,D,4,D,01,D,,A,1,D,,A,1,D,587,F,02,D
20181,03657554,15,0,1,110,D,6,D,12,D,,A,,A,,A,,C,,A,01,D
20181,03657824,19,0,1,100,D,2,D,01,D,,A,,A,,A,2,D,,A,01,D
20181,03658414,38,0,1,100,D,6,D,01,D,,A,,A,,A,,C,,A,02,D
20181,03658654,48,0,1,100,D,1,D,01,D,400,D,,A,,A,2,D,,A,03,D
20181,03658664,58,0,1,110,D,2,D,01,D,,A,,A,,A,1,D,3975,D,01,D
20181,03658734,23,0,2,100,D,6,D,11,D,,A,,A,,A,2,D,,A,01,D
20181,03658794,22,0,1,100,D,1,D,01,D,1000,F,,A,,A,2,D,,A,02,D
20181,03658914,42,0,1,180,D,6,D,12,D,,A,,A,,A,2,D,,A,07,D
20181,03659814,21,0,1,110,D,2,D,01,D,,A,,A,,A,2,D,,A,01,D
20181,03660184,24,0,1,110,D,1,D,01,D,3000,D,,A,,A,2,D,,A,01,D
20181,03660604,34,0,2,100,D,1,D,12,D,3000,D,,A,,A,2,D,,A,02,D
20181,03661424,27,0,1,100,D,2,D,01,D,,A,,A,,A,2,D,,A,01,D
20181,03661424,28,0,1,110,D,2,D,01,D,,A,,A,,A,2,D,,A,02,D
20181,03661514,27,0,2,100,D,1,D,12,D,300,D,,A,,A,2,D,,A,01,D
20181,03661814,34,0,1,100,D,1,D,02,D,175,F,,A,,A,2,D,,A,02,D
20181,03662354,68,0,1,100,D,3,D,12,D,,A,,A,,A,2,D,,A,04,D
20181,03663344,60,0,1,100,D,1,D,02,D,1900,D,,A,,A,2,D,,A,01,D
20181,03664414,32,0,1,110,D,2,D,12,D,,A,,A,,A,1,D,5782,D,03,D
20181,03664644,21,0,1,150,D,1,D,01,D,5000,D,,A,,A,2,D,,A,02,D
20181,03664644,22,0,1,200,D,2,D,02,D,,A,,A,,A,2,D,,A,03,D
20181,03664644,23,0,1,200,D,2,D,02,D,,A,,A,,A,2,D,,A,05,D
20181,03664804,28,0,1,100,D,2,D,02,D,,A,,A,,A,2,D,,A,03,D
20181,03665744,33,0,1,110,D,2,D,02,D,,A,,A,,A,2,D,,A,02,D
20181,03666624,32,0,1,100,D,6,D,02,D,,A,,A,,A,1,D,,A,03,D
20181,03667424,24,0,1,110,D,6,D,01,D,,A,,A,,A,2,D,,A,02,D
20181,03668794,24,0,1,100,D,4,D,02,D,,A,17500,D,,A,1,D,17500,D,04,D
20181,03669754,22,0,1,110,D,6,D,12,D,,A,,A,,A,2,D,,A,03,D
20181,03670474,14,0,1,100,D,3,D,12,D,,A,,A,,A,2,D,,A,01,D
20181,03692503,28,0,1,110,D,3,D,10,D,,A,,A,,A,2,D,,A,03,D
20181,03692503,29,0,1,100,D,,C,12,D,,A,,A,,A,2,D,,A,04,D
20181,03692873,50,0,1,150,D,1,D,10,D,1800,D,,A,,A,2,D,,A,08,D
20181,03692873,51,0,2,200,D,1,D,10,D,1800,D,,A,,A,2,D,,A,10,D
20181,03693063,44,0,1,110,D,2,D,11,D,,A,,A,,A,2,D,,A,02,D
20181,03693243,47,0,1,110,D,2,D,12,D,,A,,A,,A,2,D,,A,01,D
20181,03693293,30,0,1,110,D,6,D,11,D,,A,,A,,A,2,D,,A,02,D
20181,03693533,22,0,1,100,D,2,D,11,D,,A,,A,,A,2,D,,A,01,D
20181,03693613,26,0,1,100,D,1,D,10,D,1500,D,,A,,A,2,D,,A,01,D
20181,03693643,34,0,2,110,D,4,D,10,D,,A,,A,,A,2,D,,A,02,D
20181,03693763,19,0,1,110,D,4,D,12,D,,A,12000,D,,A,1,D,8500,D,02,D
20181,03694303,20,0,1,100,D,1,D,11,D,1600,D,,A,,A,2,D,,A,01,D
20181,03695103,13,0,1,110,D,2,D,12,D,,A,,A,,A,1,D,,A,01,D
20181,03695683,26,0,1,110,D,2,D,11,D,,A,,A,,A,2,D,,A,01,D
20181,03696793,52,0,1,100,D,1,D,11,D,500,D,,A,,A,2,D,,A,02,D
20181,03697173,19,0,1,200,D,3,D,11,D,,A,,A,,A,2,D,,A,02,D
20181,03697413,14,0,1,200,D,4,D,10,D,,A,,A,,A,2,D,,A,02,D
20181,03697623,75,0,1,110,D,1,D,12,D,1000,D,,A,,A,2,D,,A,03,D
20181,03697623,76,0,1,100,D,1,D,12,D,175,D,,A,,A,2,D,,A,04,D
20181,03697793,22,0,1,100,D,3,D,10,D,,A,,A,,A,2,D,,A,02,D
20181,03698563,17,0,1,100,D,3,D,11,D,,A,,A,,A,2,D,,A,02,D
20181,03699253,41,0,1,100,D,2,D,10,D,,A,,A,,A,2,D,,A,02,D
