QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,SAMP_UN,SAMP_UN_,RTELECT,RTELECT_,RTGAS,RTGAS_,RTWATER,RTWATER_,RTHEAT,RTHEAT_,RTTRASH,RTTRASH_,RTASPAY,RTASPAY_,RTCOMPX,RTCOMPX_,RTBSNSZ,RTBSNSZ_,JRTPAYQV,JRTP_YQV,QRT3MCMX,RTTELEPH,QRT3_CMX,RTTE_EPH,RTTVCABL,RTTV_ABL,RTINTRNT,RTIN_RNT,RTFUNSH,RTFUNSH_,GOVTCOST,GOVT_OST,INCLBDS,INCLBDS_,INCLDRYR,INCL_RYR,INCLFRIG,INCL_RIG,INCLPDS,INCLPDS_,INCLSTOV,INCL_TOV,INCLWSHR,INCL_SHR,PUBLHOUS,PUBL_OUS,OWNED,OWNED_,RTPARK,RTPARK_
20181,03639454,5,0,1,1,D,1,D,1,D,1,D,1,D,1,D,2,D,,A,,A,,A,1500,2,D,D,2,D,2,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20181,03639774,9,0,1,1,D,2,D,2,D,2,D,2,D,2,D,2,D,,A,,A,,A,1050,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20181,03639854,5,0,1,1,D,1,D,1,D,1,D,1,D,1,D,2,D,,A,,A,,A,3000,2,D,D,2,D,1,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20181,03640004,8,0,1,1,D,1,D,1,D,1,D,1,D,1,D,2,D,,A,,A,,A,681,2,D,D,2,D,2,D,2,D,1,D,2,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,1,D
20181,03640064,18,0,1,1,D,1,D,1,D,1,D,1,D,1,D,2,D,,A,,A,,A,1350,2,D,D,1,D,1,D,1,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,1,D
20181,03640284,10,0,1,1,D,1,D,1,D,1,D,1,D,1,D,2,D,,A,,A,,A,582,2,D,D,2,D,2,D,2,D,,A,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,1,D
20181,03640344,16,0,1,1,D,2,D,1,D,1,D,1,D,1,D,2,D,,A,,A,,A,4125,2,D,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,2,D,1,D,1,D,2,D,2,D,2,D
20181,03640394,7,0,1,1,D,1,D,1,D,1,D,1,D,1,D,2,D,,A,,A,,A,1209,2,D,D,2,D,2,D,2,D,,A,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,1,D
20181,03640414,29,0,1,1,D,2,D,2,D,1,D,2,D,1,D,2,D,,A,,A,,A,3645,2,D,D,2,D,2,D,2,D,2,D,1,D,1,D,1,D,1,D,1,D,1,D,2,D,2,D,1,D
20181,03640424,3,0,1,1,D,2,D,2,D,1,D,2,D,2,D,2,D,,A,,A,,A,1515,2,D,D,2,D,2,D,2,D,2,D,1,D,2,D,1,D,2,D,1,D,2,D,2,D,2,D,2,D
