QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,RENTCODE,RENT_ODE,BSNSPCTZ,BSNS_CTZ,QADRENTX,QADR_NTX,ANYVACAT,ANYV_CAT
20181,03639634,28,0,1,105,D,,A,360,D,1,D
20181,03640434,24,0,1,105,D,,A,400,D,2,D
20181,03641404,13,0,1,105,D,,A,300,D,2,D
20181,03641744,34,0,1,170,D,,A,40,D,1,D
20181,03642614,51,0,1,105,D,,A,399,D,1,D
20181,03642734,49,0,1,105,D,,A,506,D,1,D
20181,03643194,38,0,1,105,D,,A,400,D,1,D
20181,03643374,24,0,1,105,D,,A,600,D,1,D
20181,03643404,90,0,1,105,D,,A,100,D,1,D
20181,03643764,76,0,1,105,D,,A,500,D,1,D
20181,03644734,29,0,1,105,D,,A,164,D,1,D
20181,03645714,24,0,1,105,D,,A,280,D,1,D
20181,03646174,61,0,1,105,D,,A,550,D,1,D
20181,03646184,25,0,1,105,D,,A,365,D,1,D
20181,03646384,57,0,1,105,D,,A,235,D,2,D
20181,03647844,53,0,1,105,D,,A,250,D,2,D
20181,03648144,63,0,1,105,D,,A,250,D,1,D
20181,03649084,995,0,1,140,D,,A,13032,D,2,D
20181,03649524,66,0,1,105,D,,A,110,D,1,D
20181,03649724,7,0,1,105,D,,A,765,D,2,D
20181,03650054,16,0,1,105,D,,A,203,D,1,D
20181,03650394,35,0,1,105,D,,A,105,D,1,D
20181,03655264,23,0,1,105,D,,A,637,D,1,D
20181,03655264,24,0,1,105,D,,A,100,D,1,D
20181,03655494,31,0,1,105,D,,A,400,D,1,D
20181,03655564,34,0,1,105,D,,A,200,D,1,D
20181,03655594,27,0,1,105,D,,A,122,D,1,D
20181,03655984,29,0,1,105,D,,A,165,D,1,D
20181,03658324,19,0,1,105,D,,A,120,D,2,D
20181,03661744,31,0,1,105,D,,A,654,D,2,D
20181,03661984,18,0,1,105,D,,A,400,D,1,D
20181,03663194,30,0,1,105,D,,A,291,D,1,D
20181,03664054,31,0,1,105,D,,A,50,D,1,D
20181,03664414,33,0,1,105,D,,A,220,D,1,D
20181,03664484,23,0,1,105,D,,A,175,D,1,D
20181,03665294,22,0,1,105,D,,A,300,D,1,D
20181,03665324,37,0,1,105,D,,A,200,D,1,D
20181,03665834,56,0,1,105,D,,A,125,D,1,D
20181,03667934,53,0,1,105,D,,A,350,D,1,D
20181,03668054,53,0,1,105,D,,A,425,D,1,D
20181,03671334,39,0,1,105,D,,A,350,D,2,D
20181,03693643,35,0,1,105,D,,A,128,D,1,D
20181,03697503,25,0,1,105,D,,A,70,D,2,D
20181,03697503,26,0,1,105,D,,A,1200,D,1,D
20181,03699683,54,0,1,105,D,,A,175,D,1,D
20181,03700523,41,0,1,105,D,,A,75,D,2,D
20181,03702043,41,0,1,105,D,,A,450,D,2,D
20181,03713503,41,0,1,105,D,,A,100,D,1,D
20181,03715103,22,0,1,105,D,,A,140,D,1,D
20181,03715493,48,0,1,105,D,,A,350,D,1,D
20181,03716513,34,0,1,105,D,,A,200,D,1,D
20181,03717063,94,0,1,105,D,,A,670,D,1,D
20181,03717333,14,0,1,105,D,,A,100,D,1,D
20181,03718913,23,0,1,105,D,,A,800,D,1,D
20181,03719523,20,0,1,105,D,,A,360,D,1,D
20181,03719553,37,0,1,105,D,,A,54,D,1,D
20181,03719924,47,0,1,105,D,,A,140,D,1,D
20181,03721663,33,0,1,130,D,,A,100,D,1,D
20181,03722183,40,0,1,105,D,,A,150,D,2,D
20181,03722183,41,0,1,105,D,,A,60,D,1,D
20181,03723523,33,0,1,105,D,,A,300,F,2,D
20181,03734153,42,0,1,105,D,,A,129,D,2,D
20181,03738163,60,0,1,105,D,,A,125,D,2,D
20181,03738843,14,0,1,105,D,,A,200,D,2,D
20181,03739293,43,0,1,105,D,,A,400,D,1,D
20181,03739543,42,0,1,105,D,,A,75,D,1,D
20181,03741733,13,0,1,105,D,,A,258,D,2,D
20181,03742983,28,0,1,105,D,,A,2000,D,2,D
20181,03756172,38,0,1,105,D,,A,650,D,1,D
20181,03756172,39,0,1,105,D,,A,100,D,2,D
20181,03756642,20,0,1,105,D,,A,1090,D,1,D
20181,03756852,2,0,1,105,D,,A,100,D,2,D
20181,03757072,14,0,1,105,D,,A,1900,D,1,D
20181,03757902,20,0,1,105,D,,A,30,D,2,D
20181,03758072,25,0,1,105,D,,A,200,D,2,D
20181,03758332,24,0,1,105,D,,A,80,D,1,D
20181,03758872,23,0,1,105,D,,A,200,D,1,D
20181,03758942,35,0,1,105,D,,A,820,D,2,D
20181,03759802,87,0,1,105,D,,A,332,D,1,D
20181,03759802,88,0,1,105,D,,A,434,D,1,D
20181,03759802,89,0,1,105,D,,A,350,D,1,D
20181,03759892,31,0,1,105,D,.99,D,4,D,1,D
20181,03760532,53,0,1,130,D,,A,250,D,1,D
20181,03760712,24,0,1,105,D,,A,220,D,1,D
20181,03760712,25,0,1,105,D,,A,40,D,1,D
20181,03760992,36,0,1,105,D,,A,340,D,2,D
20181,03761012,44,0,1,130,D,,A,26,D,1,D
20181,03761232,46,0,1,105,D,,A,750,D,1,D
20181,03761893,57,0,1,105,D,,A,210,D,2,D
20181,03762652,86,0,1,105,D,,A,120,D,2,D
20181,03763444,11,0,1,105,D,,A,25,D,2,D
20181,03763462,10,0,1,105,D,,A,150,D,2,D
20181,03763592,29,0,1,160,D,,A,35,D,2,D
20181,03764152,21,0,1,105,D,,A,300,D,1,D
20181,03777502,9,0,1,105,D,,A,450,D,1,D
20181,03778012,20,0,1,105,D,,A,106,D,1,D
20181,03778172,15,0,1,105,D,,A,30,D,2,D
20181,03778532,31,0,1,105,D,,A,174,D,1,D
20181,03778822,16,0,1,105,D,,A,295,F,1,D
20181,03779212,59,0,1,105,D,,A,265,D,1,D
20181,03779512,26,0,1,105,D,,A,597,D,1,D
20181,03779512,27,0,1,105,D,,A,400,D,1,D
20181,03781142,10,0,1,105,D,,A,400,D,2,D
20181,03782562,52,0,1,105,D,,A,150,D,1,D
20181,03784102,35,0,1,105,D,,A,500,D,1,D
20181,03784812,13,0,1,105,D,,A,900,D,1,D
20181,03784932,40,0,1,105,D,,A,100,D,2,D
20181,03785443,26,0,1,105,D,,A,230,D,1,D
20181,03785443,27,0,1,105,D,,A,110,D,1,D
20181,03785532,14,0,1,105,D,,A,337,D,2,D
20181,03786212,31,0,1,105,D,,A,375,D,1,D
20181,03786902,29,0,1,105,D,,A,50,D,2,D
20181,03798002,15,0,1,105,D,,A,140,D,1,D
20181,03798412,21,0,1,105,D,,A,675,D,1,D
20181,03798532,39,0,1,105,D,,A,300,D,1,D
20181,03798932,45,0,1,105,D,,A,30,D,1,D
20181,03799392,45,0,1,105,D,,A,400,D,1,D
20181,03799462,24,0,1,105,D,,A,1000,D,1,D
20181,03799522,20,0,1,200,D,,A,200,D,1,D
20181,03800222,9,0,1,105,D,,A,1000,D,1,D
20181,03802742,17,0,1,105,D,,A,40,D,1,D
