QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,S17CODEA,S17C_DEA,S17GFTCA,S17G_TCA,SUBEXPX,SUBEXPX_,SUBMO,SUBMO_,SUBPURCH
20181,03639434,27,0,1,830,D,1,D,125,D,13,D,
20181,03639434,28,0,1,520,D,1,D,25,D,10,D,
20181,03639434,29,0,1,520,D,1,D,25,D,11,D,
20181,03639434,30,0,1,520,D,1,D,25,D,12,D,
20181,03639434,31,0,1,210,D,1,D,75,D,12,D,
20181,03639434,32,0,1,370,D,1,D,50,D,12,D,
20181,03639434,33,0,1,355,D,1,D,11,D,13,D,
20181,03639434,34,0,2,520,D,1,D,25,D,10,D,
20181,03639444,16,0,1,355,D,1,D,15,D,13,D,
20181,03639504,25,0,1,830,D,1,D,38,D,13,D,
20181,03639504,26,0,1,330,D,1,D,10,D,13,D,
20181,03639544,27,0,1,150,D,1,D,150,D,10,D,
20181,03639564,30,0,1,840,D,1,D,90,D,10,D,
20181,03639564,31,0,1,500,D,1,D,200,D,11,D,
20181,03639564,32,0,1,530,D,1,D,85,D,12,D,
20181,03639564,33,0,1,530,D,1,D,70,D,12,D,
20181,03639564,34,0,1,160,D,1,D,20,D,10,D,
20181,03639564,35,0,1,160,D,1,D,20,D,11,D,
20181,03639564,36,0,1,160,D,1,D,20,D,12,D,
20181,03639594,15,0,1,840,D,1,D,55,D,10,D,
20181,03639614,36,0,2,840,D,1,D,25,D,10,D,
20181,03639614,37,0,2,210,D,2,D,25,D,10,D,
20181,03639634,29,0,1,840,D,1,D,49,D,12,D,
20181,03639634,30,0,1,150,D,1,D,22,D,10,D,
20181,03639634,31,0,1,150,D,1,D,22,D,11,D,
20181,03639634,32,0,1,150,D,1,D,22,D,12,D,
20181,03639634,33,0,1,310,D,1,D,20,D,12,D,
20181,03639734,17,0,1,830,D,1,D,40,D,13,D,
20181,03639754,16,0,1,830,D,1,D,10,D,13,D,
20181,03639754,17,0,1,520,D,1,D,9,D,10,D,
20181,03639754,18,0,1,520,D,1,D,9,D,12,D,
20181,03639754,19,0,1,355,D,1,D,12,D,13,D,
20181,03639794,19,0,1,830,D,1,D,100,D,13,D,
20181,03639814,45,0,1,355,D,1,D,12,D,13,D,
20181,03639914,32,0,1,355,D,1,D,9,D,13,D,
20181,03639914,33,0,1,340,D,1,D,40,D,12,D,1
20181,03639914,34,0,2,840,D,1,D,99,D,10,D,
20181,03639944,30,0,1,600,D,1,D,60,D,12,D,
20181,03639944,31,0,1,355,D,1,D,11,D,13,D,
20181,03639944,32,0,1,355,D,1,D,4,D,11,D,
20181,03639974,34,0,1,520,D,1,D,40,D,11,D,
20181,03639974,35,0,1,520,D,1,D,40,D,12,D,
20181,03640004,9,0,1,355,D,1,D,13,D,13,D,
20181,03640044,25,0,1,830,D,1,D,25,D,13,D,
20181,03640044,26,0,1,150,D,1,D,150,D,12,D,
20181,03640044,27,0,2,150,D,1,D,160,D,10,D,
20181,03640054,51,0,1,150,D,1,D,13,D,11,D,
20181,03640054,52,0,1,150,D,1,D,13,D,12,D,
20181,03640054,53,0,1,355,D,1,D,8,D,13,D,
20181,03640054,54,0,1,355,D,1,D,43,D,13,D,
20181,03640054,55,0,2,150,D,1,D,14,D,10,D,
