QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,TRNONCUX,TRNO_CUX,TRNONCUY,TRNO_CUY
20181,03645264,63,0,1,,H,,A
20181,03645264,63,1,1,36,E,120,D
20181,03645264,63,2,1,7,E,140,D
20181,03645264,63,3,1,303,E,150,D
20181,03645264,63,4,1,33,E,160,D
20181,03645264,63,5,1,13,E,170,D
20181,03645264,63,6,1,461,E,180,D
20181,03645264,63,7,1,47,E,190,D
20181,03646044,27,0,1,,H,,A
20181,03646044,27,1,1,108,E,100,D
20181,03646044,27,2,1,39,E,110,D
20181,03646044,27,3,1,47,E,120,D
20181,03646044,27,4,1,209,E,130,D
20181,03646044,27,5,1,10,E,140,D
20181,03646044,27,6,1,390,E,150,D
20181,03646044,27,7,1,69,E,160,D
20181,03646044,27,8,1,25,E,170,D
20181,03646044,27,9,1,232,E,180,D
20181,03646044,27,10,1,71,E,190,D
20181,03646374,37,0,1,,H,,A
20181,03646374,37,1,1,15,E,120,D
20181,03646374,37,2,1,2,E,140,D
20181,03646374,37,3,1,123,E,150,D
20181,03646374,37,4,1,37,E,160,D
20181,03646374,37,5,1,6,E,170,D
20181,03646374,37,6,1,101,E,180,D
20181,03646374,37,7,1,16,E,190,D
20181,03646694,18,0,1,,H,,A
20181,03646694,18,1,1,52,E,120,D
20181,03646694,18,2,1,12,E,140,D
20181,03646694,18,3,1,381,E,150,D
20181,03646694,18,4,1,119,E,160,D
20181,03646694,18,5,1,85,E,170,D
20181,03646694,18,6,1,51,E,190,D
20181,03647264,12,0,1,,H,,A
20181,03647264,12,1,1,14,E,120,D
20181,03647264,12,2,1,2,E,140,D
20181,03647264,12,3,1,92,E,150,D
20181,03647264,12,4,1,16,E,160,D
20181,03647264,12,5,1,5,E,170,D
20181,03647264,12,6,1,55,E,180,D
20181,03647264,12,7,1,16,E,190,D
20181,03647934,34,0,1,,H,,A
20181,03647934,34,1,1,15,E,120,D
20181,03647934,34,2,1,77,E,130,D
20181,03647934,34,3,1,2,E,140,D
20181,03647934,34,4,1,154,E,150,D
20181,03647934,34,5,1,74,E,160,D
20181,03647934,34,6,1,23,E,170,D
20181,03647934,34,7,1,145,E,180,D
20181,03647934,34,8,1,18,E,190,D
20181,03647934,34,9,1,37,E,200,D
20181,03647934,34,10,1,33,E,210,D
20181,03647934,34,11,1,22,E,220,D
20181,03648364,16,0,1,,H,,A
20181,03648364,16,1,1,7,E,120,D
20181,03648364,16,2,1,1,E,140,D
20181,03648364,16,3,1,49,E,150,D
20181,03648364,16,4,1,2,E,160,D
20181,03648364,16,5,1,1,E,170,D
20181,03648364,16,6,1,5,E,190,D
20181,03648934,49,0,1,,H,,A
20181,03648934,49,1,1,143,E,100,D
20181,03648934,49,2,1,51,E,110,D
20181,03648934,49,3,1,66,E,120,D
20181,03648934,49,4,1,321,E,130,D
20181,03648934,49,5,1,13,E,140,D
20181,03648934,49,6,1,549,E,150,D
20181,03648934,49,7,1,61,E,160,D
20181,03648934,49,8,1,24,E,170,D
20181,03648934,49,9,1,846,E,180,D
20181,03648934,49,10,1,87,E,190,D
20181,03648934,49,11,1,90,E,200,D
20181,03648934,49,12,1,129,E,210,D
20181,03648934,49,13,1,120,E,220,D
20181,03650944,39,0,1,,H,,A
20181,03650944,39,1,1,5,E,200,D
20181,03650944,39,2,1,8,E,210,D
20181,03650944,39,3,1,7,E,220,D
20181,03653724,43,0,1,,H,,A
20181,03653724,43,1,1,300,E,130,D
20181,03654544,51,0,1,,H,,A
20181,03654544,51,1,1,24,E,120,D
20181,03654544,51,2,1,4,E,140,D
20181,03654544,51,3,1,205,E,150,D
20181,03654544,51,4,1,61,E,160,D
20181,03654544,51,5,1,10,E,170,D
20181,03654544,51,6,1,169,E,180,D
20181,03654544,51,7,1,27,E,190,D
20181,03656224,18,0,1,,H,,A
20181,03656224,18,1,1,28,E,120,D
20181,03656224,18,2,1,5,E,140,D
20181,03656224,18,3,1,227,E,150,D
20181,03656224,18,4,1,9,E,160,D
20181,03656224,18,5,1,5,E,170,D
20181,03656224,18,6,1,26,E,190,D
20181,03657594,40,0,1,,H,,A
20181,03657594,40,1,1,6,E,120,D
20181,03657594,40,2,1,30,E,150,D
20181,03657594,40,3,1,1,E,160,D
20181,03657594,40,4,1,3,E,190,D
20181,03658264,46,0,1,,H,,A
20181,03658264,46,1,1,14,E,100,D
20181,03658264,46,2,1,5,E,110,D
20181,03658264,46,3,1,6,E,120,D
20181,03658264,46,4,1,31,E,130,D
20181,03658264,46,5,1,7,E,140,D
20181,03658264,46,6,1,54,E,150,D
20181,03658264,46,7,1,6,E,160,D
20181,03658264,46,8,1,2,E,170,D
20181,03658264,46,9,1,84,E,180,D
20181,03658264,46,10,1,8,E,190,D
20181,03658264,46,11,1,9,E,200,D
20181,03658264,46,12,1,12,E,210,D
20181,03658264,46,13,1,12,E,220,D
20181,03658614,17,0,1,,H,,A
20181,03658614,17,1,1,4,E,120,D
20181,03658614,17,2,1,11,E,150,D
20181,03658614,17,3,1,1,E,160,D
20181,03658614,17,4,1,3,E,170,D
20181,03658614,17,5,1,1,E,190,D
20181,03659054,16,0,1,,H,,A
20181,03659054,16,1,1,5,E,120,D
20181,03659054,16,2,1,14,E,150,D
20181,03659054,16,3,1,6,E,160,D
20181,03659054,16,4,1,1,E,170,D
20181,03659054,16,5,1,13,E,180,D
20181,03659054,16,6,1,1,E,190,D
20181,03660144,51,0,1,,H,,A
20181,03660144,51,1,1,92,E,100,D
20181,03660144,51,2,1,20,E,110,D
20181,03660144,51,3,1,26,E,120,D
20181,03660144,51,4,1,152,E,130,D
20181,03660144,51,5,1,5,E,140,D
20181,03660144,51,6,1,262,E,150,D
20181,03660144,51,7,1,79,E,160,D
20181,03660144,51,8,1,13,E,170,D
20181,03660144,51,9,1,216,E,180,D
20181,03660144,51,10,1,35,E,190,D
20181,03660564,15,0,1,,H,,A
20181,03660564,15,1,1,6,E,100,D
20181,03660564,15,2,1,2,E,110,D
20181,03660564,15,3,1,9,E,120,D
20181,03660564,15,4,1,13,E,130,D
20181,03660564,15,5,1,26,E,150,D
20181,03660564,15,6,1,12,E,160,D
