QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,NUMLOC,NUMLOC_,LOCLODGX,LOCL_DGX,ALCMEALX,ALCM_ALX,ALCGROCX,ALCG_OCX,LOCADMSX,LOCA_MSX,FOODLCDL,FOOD_CDL,LODGLCDL,LODG_CDL,ENTRLCDL,ENTR_CDL,ELSELCDL,ELSE_CDL,QLCMLAX,QLCMLAX_,QLCGLAX,QLCGLAX_
20181,03639564,37,0,1,4,D,182,G,32,G,11,G,67,G,,A,,A,,A,,A,77,G,31,G
20181,03641244,26,0,1,1,D,74,D,,A,,A,,A,,A,,A,,A,,A,30,D,,A
20181,03655594,34,0,1,1,D,129,G,7,D,,A,51,G,2,D,1,D,1,D,2,D,38,D,,A
20181,03655654,31,0,1,5,D,354,G,32,G,,A,149,G,1,D,1,D,1,D,2,D,115,G,,A
20181,03656494,29,0,1,1,D,35,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03656814,51,0,1,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03658954,42,0,1,2,D,100,D,20,D,,A,20,D,,A,,A,,A,,A,80,D,,A
20181,03660334,27,0,1,1,D,183,F,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03660374,33,0,1,4,D,500,D,,A,,A,50,D,,A,,A,,A,,A,100,D,,A
20181,03660564,16,0,1,4,D,,A,,A,,A,,A,1,D,1,D,2,D,2,D,50,D,,A
20181,03661044,50,0,1,2,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03662324,31,0,1,1,D,70,D,,A,,A,,A,,A,,A,,A,,A,50,D,,A
20181,03664294,30,0,1,1,D,,A,120,D,,A,320,D,,A,,A,,A,,A,30,D,,A
20181,03664884,41,0,1,2,D,250,D,50,D,,A,,A,,A,,A,,A,,A,50,D,,A
20181,03692743,49,0,1,1,D,75,D,,A,,A,,A,,A,,A,,A,,A,35,D,,A
20181,03694073,30,0,1,1,D,120,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03695073,43,0,1,2,D,150,D,,A,,A,,A,,A,,A,,A,,A,200,D,,A
