QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,FONPURCH,INTAWAY,INTAWAY_,INTAWYX,INTAWYX_,FONCARDX,FONC_RDX
20181,03639434,42,0,1,,2,D,,A,,A
20181,03639444,22,0,1,,2,D,,A,,A
20181,03639454,7,0,1,,2,D,,A,30,D
20181,03639504,34,0,1,,2,D,,A,,A
20181,03639544,32,0,1,,2,D,,A,,A
20181,03639564,44,0,1,,2,D,,A,,A
20181,03639594,23,0,1,,2,D,,A,,A
20181,03639614,45,0,1,,2,D,,A,,A
20181,03639624,27,0,1,,2,D,,A,,A
20181,03639634,42,0,1,,2,D,,A,,A
20181,03639734,24,0,1,,2,D,,A,,A
20181,03639754,24,0,1,,2,D,,A,,A
20181,03639774,13,0,1,,2,D,,A,,A
20181,03639794,24,0,1,,2,D,,A,,A
20181,03639814,51,0,1,,2,D,,A,,A
20181,03639854,7,0,1,,2,D,,A,,A
20181,03639874,34,0,1,,2,D,,A,,A
20181,03639914,42,0,1,,2,D,,A,,A
20181,03639944,37,0,1,,2,D,,A,,A
20181,03639974,43,0,1,,2,D,,A,,A
20181,03640004,11,0,1,,2,D,,A,,A
20181,03640044,34,0,1,,2,D,,A,,A
20181,03640054,63,0,1,,2,D,,A,,A
20181,03640064,23,0,1,,2,D,,A,,A
20181,03640104,25,0,1,,2,D,,A,,A
20181,03640114,38,0,1,,2,D,,A,,A
20181,03640134,38,0,1,,2,D,,A,,A
20181,03640174,34,0,1,,2,D,,A,,A
20181,03640184,41,0,1,,2,D,,A,,A
20181,03640214,68,0,1,,2,D,,A,,A
20181,03640264,21,0,1,,2,D,,A,,A
20181,03640284,13,0,1,,2,D,,A,,A
20181,03640304,41,0,1,,2,D,,A,,A
20181,03640344,23,0,1,,2,D,,A,,A
20181,03640364,27,0,1,,2,D,,A,,A
20181,03640374,25,0,1,,2,D,,A,,A
20181,03640394,9,0,1,,2,D,,A,,A
20181,03640414,36,0,1,,2,D,,A,,A
20181,03640424,5,0,1,,2,D,,A,,A
20181,03640434,33,0,1,,2,D,,A,,A
20181,03640454,32,0,1,,2,D,,A,,A
20181,03640484,34,0,1,,2,D,,A,,A
20181,03640494,21,0,1,,2,D,,A,,A
20181,03640504,10,0,1,,2,D,,A,,A
20181,03640514,24,0,1,,2,D,,A,,A
20181,03640524,18,0,1,,2,D,,A,,A
20181,03640534,33,0,1,,2,D,,A,,A
20181,03640574,11,0,1,,2,D,,A,,A
20181,03640614,22,0,1,,2,D,,A,,A
20181,03640634,44,0,1,,2,D,,A,,A
20181,03640664,38,0,1,,2,D,,A,,A
20181,03640684,7,0,1,,2,D,,A,,A
20181,03640704,20,0,1,,2,D,,A,,A
20181,03640744,98,0,1,,2,D,,A,,A
20181,03640764,36,0,1,,2,D,,A,,A
20181,03640774,31,0,1,,2,D,,A,,A
20181,03640784,71,0,1,,2,D,,A,,A
20181,03640804,25,0,1,,2,D,,A,,A
20181,03640814,45,0,1,,2,D,,A,,A
20181,03640834,37,0,1,,2,D,,A,,A
20181,03640844,34,0,1,,2,D,,A,,A
20181,03640854,28,0,1,,2,D,,A,,A
20181,03640874,102,0,1,,2,D,,A,,A
20181,03640904,30,0,1,,2,D,,A,,A
20181,03640994,42,0,1,,2,D,,A,,A
20181,03641034,29,0,1,,2,D,,A,,A
20181,03641044,50,0,1,,2,D,,A,,A
20181,03641064,32,0,1,,2,D,,A,,A
20181,03641084,27,0,1,,2,D,,A,,A
20181,03641104,13,0,1,,2,D,,A,,A
20181,03641114,26,0,1,,2,D,,A,,A
20181,03641134,54,0,1,,2,D,,A,,A
20181,03641144,26,0,1,,2,D,,A,,A
20181,03641154,70,0,1,,2,D,,A,,A
20181,03641194,23,0,1,,2,D,,A,,A
20181,03641204,43,0,1,,2,D,,A,,A
20181,03641214,19,0,1,,2,D,,A,120,D
20181,03641244,30,0,1,,2,D,,A,,A
20181,03641264,26,0,1,,2,D,,A,,A
20181,03641274,9,0,1,,2,D,,A,,A
20181,03641284,51,0,1,,1,D,20,D,,A
20181,03641384,15,0,1,,2,D,,A,,A
20181,03641404,17,0,1,,2,D,,A,,A
20181,03641414,27,0,1,,2,D,,A,,A
20181,03641424,12,0,1,,2,D,,A,,A
20181,03641434,25,0,1,,2,D,,A,,A
20181,03641464,26,0,1,,2,D,,A,,A
20181,03641474,64,0,1,,2,D,,A,,A
20181,03641494,31,0,1,,2,D,,A,,A
20181,03641504,27,0,1,,2,D,,A,,A
20181,03641584,40,0,1,,2,D,,A,,A
20181,03641644,9,0,1,,2,D,,A,,A
20181,03641654,48,0,1,,2,D,,A,,A
20181,03641674,52,0,1,,2,D,,A,,A
20181,03641684,19,0,1,,2,D,,A,,A
20181,03641714,36,0,1,,2,D,,A,,A
20181,03641744,48,0,1,,2,D,,A,,A
20181,03641754,48,0,1,,2,D,,A,,A
20181,03641814,38,0,1,,2,D,,A,,A
20181,03641854,50,0,1,,2,D,,A,,A
20181,03641874,122,0,1,,2,D,,A,,A
20181,03641914,38,0,1,,2,D,,A,,A
20181,03641934,26,0,1,,2,D,,A,,A
20181,03641944,11,0,1,,2,D,,A,,A
20181,03642004,25,0,1,,2,D,,A,,A
20181,03642014,14,0,1,,2,D,,A,,A
20181,03642024,17,0,1,,2,D,,A,,A
20181,03642034,28,0,1,,2,D,,A,,A
20181,03642054,24,0,1,,2,D,,A,,A
20181,03642064,36,0,1,,2,D,,A,,A
20181,03642104,63,0,1,,2,D,,A,,A
20181,03642114,12,0,1,,2,D,,A,,A
20181,03642174,29,0,1,,2,D,,A,,A
20181,03642194,25,0,1,,2,D,,A,,A
20181,03642204,33,0,1,,2,D,,A,,A
20181,03642214,17,0,1,,2,D,,A,,A
20181,03642244,72,0,1,,2,D,,A,,A
20181,03642254,40,0,1,,2,D,,A,,A
20181,03642294,23,0,1,,2,D,,A,,A
20181,03642304,37,0,1,,2,D,,A,,A
20181,03642314,19,0,1,,2,D,,A,,A
20181,03642334,36,0,1,,2,D,,A,,A
20181,03642344,74,0,1,,2,D,,A,,A
20181,03642354,29,0,1,,2,D,,A,,A
20181,03642394,39,0,1,,2,D,,A,,A
20181,03642404,43,0,1,,2,D,,A,,A
20181,03642424,46,0,1,,2,D,,A,,A
20181,03642434,28,0,1,,2,D,,A,,A
20181,03642444,25,0,1,,2,D,,A,,A
20181,03642454,40,0,1,,2,D,,A,,A
20181,03642464,19,0,1,,2,D,,A,,A
20181,03642474,33,0,1,,2,D,,A,,A
20181,03642484,23,0,1,,2,D,,A,,A
20181,03642494,13,0,1,,2,D,,A,,A
20181,03642504,61,0,1,,2,D,,A,,A
20181,03642524,3,0,1,,,C,,A,,A
20181,03642534,16,0,1,,2,D,,A,,A
20181,03642544,15,0,1,,2,D,,A,,A
20181,03642564,64,0,1,,2,D,,A,,A
20181,03642584,33,0,1,,2,D,,A,,A
20181,03642604,20,0,1,,2,D,,A,,A
20181,03642614,67,0,1,,2,D,,A,,A
20181,03642694,9,0,1,,2,D,,A,,A
20181,03642714,53,0,1,,2,D,,A,,A
20181,03642724,44,0,1,,2,D,,A,,A
20181,03642734,58,0,1,,2,D,,A,,A
20181,03642764,19,0,1,,2,D,,A,,A
20181,03642774,25,0,1,,2,D,,A,,A
20181,03642784,58,0,1,,2,D,,A,,A
20181,03642824,65,0,1,,2,D,,A,,A
20181,03642884,23,0,1,,2,D,,A,,A
20181,03642904,31,0,1,,2,D,,A,,A
20181,03642924,81,0,1,,2,D,,A,,A
20181,03642944,24,0,1,,2,D,,A,,A
20181,03642984,29,0,1,,2,D,,A,,A
20181,03642994,44,0,1,,2,D,,A,,A
20181,03643004,26,0,1,,2,D,,A,,A
20181,03643034,26,0,1,,2,D,,A,,A
20181,03643044,77,0,1,,2,D,,A,,A
20181,03643054,44,0,1,,2,D,,A,,A
20181,03643074,40,0,1,,2,D,,A,,A
20181,03643144,35,0,1,,2,D,,A,20,D
20181,03643174,17,0,1,,2,D,,A,,A
20181,03643194,53,0,1,,1,D,56,F,,A
20181,03643214,9,0,1,,2,D,,A,20,D
20181,03643234,52,0,1,,2,D,,A,,A
20181,03643254,37,0,1,,2,D,,A,,A
20181,03643274,11,0,1,,2,D,,A,,A
20181,03643354,41,0,1,,2,D,,A,,A
20181,03643364,14,0,1,,2,D,,A,,A
20181,03643374,31,0,1,,2,D,,A,,A
20181,03643384,16,0,1,,2,D,,A,,A
20181,03643404,121,0,1,,1,D,75,D,,A
20181,03643454,48,0,1,,2,D,,A,,A
20181,03643534,17,0,1,,2,D,,A,,A
20181,03643554,23,0,1,,2,D,,A,,A
20181,03643564,39,0,1,,2,D,,A,,A
20181,03643584,49,0,1,,2,D,,A,,A
20181,03643594,27,0,1,,2,D,,A,,A
20181,03643624,25,0,1,,2,D,,A,,A
20181,03643634,61,0,1,,2,D,,A,,A
20181,03643644,38,0,1,,2,D,,A,,A
20181,03643654,26,0,1,,2,D,,A,,A
20181,03643674,28,0,1,,2,D,,A,,A
20181,03643714,25,0,1,,2,D,,A,,A
20181,03643734,22,0,1,,2,D,,A,,A
20181,03643744,30,0,1,,2,D,,A,,A
20181,03643764,89,0,1,,2,D,,A,,A
20181,03643774,30,0,1,,2,D,,A,,A
20181,03643804,51,0,1,,2,D,,A,,A
20181,03643854,33,0,1,,2,D,,A,,A
20181,03643884,13,0,1,,2,D,,A,,A
20181,03643894,37,0,1,,2,D,,A,,A
20181,03643904,40,0,1,,2,D,,A,,A
20181,03643914,32,0,1,,2,D,,A,,A
20181,03643924,9,0,1,,2,D,,A,,A
20181,03643934,30,0,1,,2,D,,A,,A
20181,03643944,19,0,1,,2,D,,A,,A
20181,03643974,17,0,1,,2,D,,A,,A
20181,03643994,10,0,1,,2,D,,A,,A
20181,03644004,16,0,1,,2,D,,A,,A
20181,03644014,13,0,1,,2,D,,A,,A
20181,03644024,8,0,1,,2,D,,A,,A
20181,03644034,63,0,1,,2,D,,A,,A
20181,03644084,35,0,1,,2,D,,A,,A
20181,03644124,49,0,1,,2,D,,A,,A
20181,03644134,33,0,1,,2,D,,A,,A
20181,03644184,14,0,1,,2,D,,A,,A
20181,03644284,38,0,1,,2,D,,A,,A
20181,03644314,27,0,1,,2,D,,A,,A
20181,03644324,57,0,1,,2,D,,A,,A
20181,03644344,21,0,1,,2,D,,A,,A
