QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPMOA,VOPMOA_,VOPEXPX,VOPEXPX_,VOPRMBXA,VOPR_BXA,QVOPEQPX,QVOP_QPX,VOPSERVY,VOPS_RVY,VOPLABOR,VOPL_BOR,VOPREIMB,VOPR_IMB,VPSRVY1,VPSRVY1_,VPSRVY2,VPSRVY2_,VPSRVY3,VPSRVY3_,VPSRVY4,VPSRVY4_,VPSRVY5,VPSRVY5_,VPSRVY6,VPSRVY6_,VPSRVY7,VPSRVY7_,VPSRVY8,VPSRVY8_,VPSRVY9,VPSRVY9_
20181,03639544,33,0,1,10,D,50,D,,A,50,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639564,45,0,1,12,D,40,D,,A,40,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639624,28,0,1,12,D,20,D,,A,20,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639634,43,0,1,10,D,350,D,,A,350,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639734,25,0,1,11,D,90,D,,A,90,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639794,25,0,1,12,D,1200,D,,A,,H,500,D,1,D,2,D,110,D,380,D,100,D,,A,,A,,A,,A,,A,,A
20181,03639794,25,1,1,12,D,,B,,A,393,E,110,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639794,25,2,1,12,D,,B,,A,707,E,380,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639794,25,3,1,12,D,,B,,A,100,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639814,52,0,1,12,D,120,D,,A,120,D,130,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639874,35,0,1,11,D,70,D,,A,70,D,110,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639874,36,0,2,10,D,1462,D,,A,1462,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639914,43,0,1,12,D,840,D,,A,840,D,140,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639914,44,0,1,12,D,53,D,,A,53,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639944,38,0,1,10,D,35,D,,A,35,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639974,44,0,2,10,D,810,D,,A,810,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639974,45,0,2,10,D,800,D,,A,800,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640044,35,0,1,11,D,161,D,,A,,H,500,D,1,D,2,D,130,D,100,D,,A,,A,,A,,A,,A,,A,,A
20181,03640044,35,1,1,11,D,,B,,A,161,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640064,24,0,1,11,D,49,D,,A,49,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640064,25,0,2,10,D,15,D,,A,15,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640114,39,0,1,12,D,60,D,,A,60,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640114,40,0,1,12,D,13,D,,A,13,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640114,41,0,1,11,D,13,D,,A,13,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640114,42,0,1,10,D,13,D,,A,13,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640114,43,0,1,12,D,46,D,,A,46,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640134,39,0,1,11,D,500,D,,A,,H,500,D,1,D,2,D,100,D,380,D,,A,,A,,A,,A,,A,,A,,A
20181,03640134,39,1,1,11,D,,B,,A,63,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640134,39,2,1,11,D,,B,,A,437,E,380,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640174,35,0,1,12,D,3000,D,,A,,H,500,D,1,D,2,D,100,D,110,D,130,D,140,D,367,D,370,D,,A,,A,,A
20181,03640174,35,1,1,12,D,,B,,A,306,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640174,35,2,1,12,D,,B,,A,1195,E,110,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640174,35,3,1,12,D,,B,,A,122,E,367,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640174,35,4,1,12,D,,B,,A,1377,E,370,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640184,42,0,1,12,D,499,D,,A,499,D,140,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640214,69,0,1,12,D,12,D,,A,12,D,110,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640214,70,0,1,10,D,2,D,,A,2,D,367,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640214,71,0,1,11,D,2,D,,A,2,D,367,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640214,72,0,1,12,D,2,D,,A,2,D,367,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640304,42,0,1,12,D,45,D,,A,45,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640344,24,0,1,11,D,700,D,,A,700,D,140,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640364,28,0,1,12,D,300,D,,A,300,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640374,26,0,2,10,D,24,D,,A,24,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640414,37,0,1,12,D,400,D,,A,400,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640454,33,0,1,10,D,100,D,,A,100,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640454,34,0,1,11,D,100,D,,A,100,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640454,35,0,1,12,D,10,D,,A,10,D,367,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640484,35,0,2,10,D,25,D,,A,25,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640514,25,0,1,10,D,35,D,,A,35,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640524,19,0,2,10,D,56,D,,A,56,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640574,12,0,1,12,D,260,D,,A,260,D,140,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640574,13,0,1,11,D,50,D,,A,50,D,160,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640574,14,0,1,11,D,120,D,,A,120,D,160,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640574,15,0,1,12,D,140,D,,A,140,D,130,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640614,23,0,1,11,D,25,D,,A,25,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640634,45,0,1,10,D,500,D,,A,500,D,320,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640664,39,0,1,11,D,424,D,,A,424,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640704,21,0,1,10,D,80,D,,A,80,D,100,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640704,22,0,2,10,D,80,D,,A,80,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640744,99,0,1,10,D,342,D,,A,342,D,140,D,1,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640744,100,0,1,11,D,56,D,,A,56,D,100,D,2,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640784,72,0,1,10,D,36,D,,A,36,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640784,73,0,1,10,D,30,D,,A,30,D,160,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640784,74,0,2,10,D,926,D,,A,926,D,380,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640804,26,0,1,11,D,400,D,,A,400,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640804,27,0,1,12,D,400,D,,A,400,D,370,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640834,38,0,1,11,D,645,D,,A,645,D,110,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640834,39,0,1,11,D,325,D,,A,325,D,140,D,2,F,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640844,35,0,1,12,D,1400,D,,A,,H,500,D,1,D,2,D,130,D,370,D,100,D,,A,,A,,A,,A,,A,,A
20181,03640844,35,1,1,12,D,,B,,A,1145,E,370,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640844,35,2,1,12,D,,B,,A,255,E,100,D,1,D,,B,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03640854,29,0,1,10,D,60,D,,A,60,D,100,D,1,D,2,D,,A,,A,,A,,A,,A,,A,,A,,A,,A
