QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,VOPREGY,VOPREGY_,VOPMO_C,VOPMO_C_,VOPREGX,VOPREGX_,VOPRGY1,VOPRGY1_,VOPRGY2,VOPRGY2_,VOPRGY3,VOPRGY3_,VOPRGY4,VOPRGY4_
20181,03639624,29,0,1,420,D,11,D,20,D,,A,,A,,A,,A
20181,03639634,44,0,1,420,D,11,D,108,D,,A,,A,,A,,A
20181,03639814,53,0,1,400,D,12,D,18,D,,A,,A,,A,,A
20181,03639914,45,0,1,400,D,11,D,15,D,,A,,A,,A,,A
20181,03639974,46,0,1,420,D,11,D,310,D,,A,,A,,A,,A
20181,03639974,47,0,1,420,D,12,D,260,D,,A,,A,,A,,A
20181,03639974,48,0,1,420,D,11,D,120,D,,A,,A,,A,,A
20181,03640114,44,0,1,420,D,12,D,100,D,,A,,A,,A,,A
20181,03640134,40,0,1,410,D,12,D,16,D,,A,,A,,A,,A
20181,03640214,73,0,1,420,D,10,D,100,D,,A,,A,,A,,A
20181,03640304,43,0,1,420,D,10,D,36,D,,A,,A,,A,,A
20181,03640374,27,0,1,420,D,11,D,147,D,,A,,A,,A,,A
20181,03640434,34,0,1,405,D,11,D,133,D,,A,,A,,A,,A
20181,03640454,36,0,1,420,D,12,D,130,D,,A,,A,,A,,A
20181,03640454,37,0,1,410,D,12,D,80,D,,A,,A,,A,,A
20181,03640484,36,0,2,400,D,10,D,14,D,,A,,A,,A,,A
20181,03640484,37,0,2,420,D,10,D,750,D,,A,,A,,A,,A
20181,03640514,26,0,1,420,D,12,D,47,D,,A,,A,,A,,A
20181,03640534,34,0,1,420,D,10,D,251,D,,A,,A,,A,,A
20181,03640634,46,0,1,420,D,11,D,169,D,,A,,A,,A,,A
20181,03640744,101,0,1,420,D,10,D,30,D,,A,,A,,A,,A
20181,03640744,102,0,1,420,D,12,D,250,D,,A,,A,,A,,A
20181,03640784,75,0,1,410,D,11,D,16,D,,A,,A,,A,,A
20181,03640784,76,0,1,400,D,12,D,50,D,,A,,A,,A,,A
20181,03640784,77,0,1,405,D,12,D,256,D,,A,,A,,A,,A
20181,03640814,46,0,1,420,D,12,D,489,D,,A,,A,,A,,A
20181,03640834,40,0,1,420,D,10,D,135,D,,A,,A,,A,,A
20181,03640874,105,0,1,420,D,11,D,390,D,,A,,A,,A,,A
20181,03641154,72,0,1,400,D,10,D,20,D,,A,,A,,A,,A
20181,03641204,44,0,1,420,D,10,D,100,D,,A,,A,,A,,A
20181,03641204,45,0,2,400,D,10,D,40,D,,A,,A,,A,,A
20181,03641204,46,0,2,420,D,10,D,100,D,,A,,A,,A,,A
20181,03641204,47,0,2,405,D,10,D,1700,D,,A,,A,,A,,A
20181,03641214,22,0,2,405,D,10,D,65,D,,A,,A,,A,,A
20181,03641264,27,0,1,420,D,10,D,155,D,,A,,A,,A,,A
20181,03641264,28,0,1,420,D,10,D,127,D,,A,,A,,A,,A
20181,03641414,30,0,1,420,D,12,D,81,D,,A,,A,,A,,A
20181,03641464,27,0,1,420,D,10,D,500,D,,A,,A,,A,,A
20181,03641714,37,0,1,420,D,11,D,90,D,,A,,A,,A,,A
20181,03641744,51,0,1,410,D,10,D,36,F,,A,,A,,A,,A
20181,03641754,50,0,1,420,D,10,D,220,D,,A,,A,,A,,A
20181,03641814,39,0,1,420,D,12,D,75,D,,A,,A,,A,,A
20181,03641874,128,0,1,400,D,10,D,26,D,,A,,A,,A,,A
20181,03641874,129,0,1,420,D,10,D,178,D,,A,,A,,A,,A
20181,03642054,25,0,1,420,D,12,D,280,D,,A,,A,,A,,A
20181,03642244,74,0,1,430,D,10,D,,H,415,D,400,D,,A,,A
20181,03642244,74,1,1,420,D,10,D,95,E,,A,,A,,A,,A
20181,03642244,74,2,1,400,D,10,D,25,E,,A,,A,,A,,A
20181,03642344,77,0,2,420,D,10,D,228,D,,A,,A,,A,,A
20181,03642404,46,0,1,420,D,10,D,84,D,,A,,A,,A,,A
20181,03642434,30,0,1,420,D,12,D,100,D,,A,,A,,A,,A
20181,03642454,45,0,1,420,D,11,D,170,D,,A,,A,,A,,A
20181,03642464,20,0,1,420,D,12,D,120,F,,A,,A,,A,,A
20181,03642504,63,0,1,400,D,11,D,33,D,,A,,A,,A,,A
20181,03642504,64,0,1,420,D,11,D,176,D,,A,,A,,A,,A
20181,03642534,17,0,1,420,D,12,D,106,D,,A,,A,,A,,A
20181,03642564,66,0,1,420,D,12,D,120,D,,A,,A,,A,,A
20181,03642564,67,0,1,420,D,10,D,109,D,,A,,A,,A,,A
20181,03642584,35,0,1,420,D,10,D,450,D,,A,,A,,A,,A
20181,03642614,69,0,1,400,D,12,D,30,D,,A,,A,,A,,A
20181,03642614,70,0,1,430,D,12,D,,H,405,D,415,D,,A,,A
20181,03642614,70,1,1,405,D,12,D,337,E,,A,,A,,A,,A
20181,03642614,70,2,1,420,D,12,D,119,E,,A,,A,,A,,A
20181,03642724,50,0,1,410,D,11,D,37,D,,A,,A,,A,,A
20181,03642724,51,0,1,410,D,12,D,40,D,,A,,A,,A,,A
20181,03642724,52,0,1,420,D,12,D,205,D,,A,,A,,A,,A
20181,03642734,59,0,2,400,D,10,D,70,D,,A,,A,,A,,A
20181,03642734,60,0,2,410,D,10,D,20,D,,A,,A,,A,,A
20181,03642924,83,0,1,400,D,11,D,90,D,,A,,A,,A,,A
20181,03642984,30,0,1,430,D,11,D,,H,405,D,415,D,,A,,A
20181,03642984,30,1,1,405,D,11,D,8,E,,A,,A,,A,,A
20181,03642984,30,2,1,420,D,11,D,132,E,,A,,A,,A,,A
20181,03642994,46,0,2,400,D,10,D,38,D,,A,,A,,A,,A
20181,03643034,27,0,1,420,D,11,D,85,D,,A,,A,,A,,A
20181,03643034,28,0,1,420,D,12,D,198,D,,A,,A,,A,,A
20181,03643044,79,0,1,420,D,10,D,104,D,,A,,A,,A,,A
20181,03643054,49,0,1,405,D,10,D,500,D,,A,,A,,A,,A
20181,03643054,50,0,2,420,D,10,D,148,D,,A,,A,,A,,A
20181,03643234,53,0,1,410,D,12,D,14,D,,A,,A,,A,,A
20181,03643254,39,0,1,400,D,12,D,42,D,,A,,A,,A,,A
20181,03643254,40,0,1,410,D,12,D,36,D,,A,,A,,A,,A
20181,03643354,42,0,1,420,D,11,D,130,D,,A,,A,,A,,A
20181,03643374,32,0,1,430,D,11,D,,H,410,D,415,D,,A,,A
20181,03643374,32,1,1,410,D,11,D,24,E,,A,,A,,A,,A
20181,03643374,32,2,1,420,D,11,D,76,E,,A,,A,,A,,A
20181,03643454,51,0,1,400,D,12,D,95,D,,A,,A,,A,,A
20181,03643634,63,0,1,410,D,12,D,29,D,,A,,A,,A,,A
20181,03643634,64,0,1,420,D,11,D,60,D,,A,,A,,A,,A
20181,03643644,39,0,1,420,D,10,D,150,D,,A,,A,,A,,A
20181,03643654,27,0,1,420,D,11,D,54,F,,A,,A,,A,,A
20181,03643654,28,0,1,400,D,12,D,20,D,,A,,A,,A,,A
20181,03643674,30,0,1,410,D,11,D,25,D,,A,,A,,A,,A
20181,03643674,31,0,1,405,D,11,D,65,D,,A,,A,,A,,A
20181,03643774,31,0,1,400,D,12,D,33,D,,A,,A,,A,,A
20181,03643894,40,0,1,420,D,12,D,90,D,,A,,A,,A,,A
20181,03644134,35,0,1,420,D,10,D,84,D,,A,,A,,A,,A
20181,03644314,28,0,1,420,D,10,D,330,D,,A,,A,,A,,A
20181,03644534,33,0,1,410,D,12,D,150,D,,A,,A,,A,,A
20181,03644544,34,0,1,405,D,11,D,35,D,,A,,A,,A,,A
20181,03644594,27,0,2,420,D,10,D,60,D,,A,,A,,A,,A
20181,03644654,57,0,1,410,D,12,D,15,D,,A,,A,,A,,A
20181,03644654,58,0,1,420,D,12,D,187,D,,A,,A,,A,,A
20181,03644724,41,0,1,410,D,12,D,30,D,,A,,A,,A,,A
20181,03644724,42,0,1,430,D,12,D,,H,405,D,415,D,,A,,A
20181,03644724,42,1,1,405,D,12,D,100,E,,A,,A,,A,,A
20181,03644724,42,2,1,420,D,12,D,35,E,,A,,A,,A,,A
20181,03644754,17,0,1,400,D,10,D,30,F,,A,,A,,A,,A
20181,03644794,50,0,1,420,D,12,D,35,D,,A,,A,,A,,A
20181,03645154,38,0,2,420,D,10,D,95,D,,A,,A,,A,,A
20181,03645164,55,0,1,420,D,12,D,60,D,,A,,A,,A,,A
20181,03645164,56,0,1,405,D,12,D,799,D,,A,,A,,A,,A
20181,03645264,77,0,1,405,D,12,D,580,D,,A,,A,,A,,A
20181,03645284,52,0,1,420,D,10,D,5,D,,A,,A,,A,,A
20181,03645414,34,0,1,430,D,12,D,,H,405,D,415,D,,A,,A
20181,03645414,34,1,1,405,D,12,D,24,E,,A,,A,,A,,A
20181,03645414,34,2,1,420,D,12,D,376,E,,A,,A,,A,,A
20181,03645444,67,0,2,420,D,10,D,179,D,,A,,A,,A,,A
20181,03645484,28,0,1,430,D,10,D,,H,415,D,410,D,,A,,A
20181,03645484,28,1,1,420,D,10,D,90,E,,A,,A,,A,,A
20181,03645484,28,2,1,410,D,10,D,30,E,,A,,A,,A,,A
20181,03645484,29,0,2,430,D,10,D,,H,410,D,415,D,,A,,A
20181,03645484,29,1,2,410,D,10,D,24,E,,A,,A,,A,,A
20181,03645484,29,2,2,420,D,10,D,72,E,,A,,A,,A,,A
20181,03645654,35,0,1,420,D,11,D,26,D,,A,,A,,A,,A
20181,03645664,14,0,1,420,D,11,D,101,D,,A,,A,,A,,A
20181,03645714,31,0,1,420,D,10,D,120,D,,A,,A,,A,,A
20181,03645744,36,0,2,400,D,10,D,20,D,,A,,A,,A,,A
20181,03645814,38,0,1,410,D,10,D,55,D,,A,,A,,A,,A
20181,03645814,39,0,1,410,D,12,D,55,D,,A,,A,,A,,A
20181,03645814,40,0,1,420,D,10,D,120,D,,A,,A,,A,,A
20181,03645814,41,0,1,420,D,12,D,200,D,,A,,A,,A,,A
20181,03645844,52,0,1,420,D,12,D,734,D,,A,,A,,A,,A
20181,03645864,22,0,1,420,D,11,D,40,D,,A,,A,,A,,A
20181,03645944,37,0,1,420,D,11,D,57,D,,A,,A,,A,,A
20181,03646014,36,0,2,420,D,10,D,300,D,,A,,A,,A,,A
20181,03646024,77,0,1,400,D,11,D,10,D,,A,,A,,A,,A
20181,03646044,36,0,1,400,D,11,D,35,D,,A,,A,,A,,A
20181,03646054,34,0,1,420,D,12,D,230,D,,A,,A,,A,,A
20181,03646094,29,0,1,420,D,11,D,25,D,,A,,A,,A,,A
20181,03646094,30,0,1,405,D,11,D,24,D,,A,,A,,A,,A
20181,03646374,45,0,1,410,D,10,D,40,D,,A,,A,,A,,A
20181,03646454,40,0,1,430,D,10,D,,H,410,D,415,D,,A,,A
20181,03646454,40,1,1,410,D,10,D,25,E,,A,,A,,A,,A
20181,03646454,40,2,1,420,D,10,D,75,E,,A,,A,,A,,A
20181,03646564,32,0,1,420,D,10,D,67,D,,A,,A,,A,,A
20181,03646614,40,0,1,400,D,12,D,10,D,,A,,A,,A,,A
20181,03646614,41,0,1,410,D,12,D,25,D,,A,,A,,A,,A
20181,03646614,42,0,1,420,D,12,D,40,D,,A,,A,,A,,A
20181,03646704,24,0,1,410,D,10,D,18,D,,A,,A,,A,,A
20181,03646854,41,0,2,405,D,10,D,100,D,,A,,A,,A,,A
20181,03646934,23,0,1,420,D,11,D,112,D,,A,,A,,A,,A
20181,03646944,55,0,1,420,D,11,D,103,D,,A,,A,,A,,A
