QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,JMKPURQV,JMKP_RQV,JNONFDQV,JNON_DQV,JOTHSTQV,JOTH_TQV,JDINEOQV,JDIN_OQV,JALOUTQV,JALO_TQV,JMLPAYQV,JMLP_YQV,JSCHMLQV,JSCH_LQV,JMKGRCQV,JMKG_CQV,JALHOMQV,JALH_MQV,CIGARETX,CIGA_ETX,JCIGARQV,JCIG_RQV,JOTBACQV,JOTB_CQV,OTHTBACX,OTHT_ACX
20181,03639434,44,0,1,3250,D,520,D,,A,1300,D,0,D,,A,,A,2730,D,0,D,,A,,A,,A,,A
20181,03639444,24,0,1,3900,D,325,D,,A,0,D,0,D,,A,,A,3575,D,0,D,,A,,A,,A,,A
20181,03639454,9,0,1,2223,D,195,D,65,D,0,D,0,D,,A,,A,2028,D,0,D,10,D,130,D,,A,,A
20181,03639504,36,0,1,1300,D,390,D,,A,0,D,0,D,,A,,A,910,D,0,D,,A,,A,,A,,A
20181,03639544,35,0,1,650,D,130,D,,A,130,D,0,D,,A,,A,520,D,0,D,,A,,A,,A,,A
20181,03639564,47,0,1,650,D,0,D,,A,1300,D,0,D,,A,,A,650,D,0,D,,A,,A,,A,,A
20181,03639594,25,0,1,2860,D,650,D,,A,1040,D,0,D,,A,,A,2210,D,0,D,,A,,A,,A,,A
20181,03639614,47,0,1,780,D,260,D,,A,650,D,0,D,,A,,A,520,D,0,D,,A,,A,,A,,A
20181,03639624,31,0,1,650,D,0,D,,A,0,D,0,D,,A,,A,650,D,0,D,,A,,A,,A,,A
20181,03639634,46,0,1,1300,D,260,D,,A,975,D,60,D,,A,,A,1040,D,30,D,,A,,A,,A,,A
20181,03639734,27,0,1,1950,D,260,D,,A,1300,D,0,D,,A,,A,1690,D,0,D,,A,,A,,A,,A
20181,03639754,26,0,1,650,D,65,D,,A,650,D,0,D,,A,,A,585,D,0,D,,A,,A,,A,,A
20181,03639774,15,0,1,780,D,130,D,,A,0,D,0,D,,A,,A,650,D,0,D,,A,,A,,A,,A
20181,03639794,27,0,1,1950,D,455,D,,A,325,D,0,D,,A,,A,1495,D,0,D,,A,,A,,A,,A
20181,03639814,55,0,1,1300,D,130,D,,A,130,D,0,D,,A,,A,1170,D,0,D,,A,,A,,A,,A
20181,03639854,9,0,1,0,D,,A,,A,845,D,0,D,,A,,A,0,D,0,D,,A,,A,,A,,A
20181,03639874,38,0,1,1430,D,325,D,,A,975,D,60,D,,A,80,D,1105,D,60,D,,A,,A,,A,,A
20181,03639914,47,0,1,1950,D,650,D,,A,1300,D,0,D,,A,563,D,1300,D,0,D,,A,,A,,A,,A
20181,03639944,40,0,1,1690,D,260,D,,A,325,D,0,D,,A,,A,1430,D,0,D,,A,,A,,A,,A
20181,03639974,50,0,1,1040,D,260,D,,A,1300,D,60,D,,A,,A,780,D,30,D,,A,,A,,A,,A
20181,03640004,13,0,1,910,D,130,D,,A,65,D,0,D,,A,,A,780,D,0,D,,A,,A,,A,,A
20181,03640044,37,0,1,3900,D,650,D,,A,1300,D,0,D,,A,,A,3250,D,0,D,,A,,A,,A,,A
20181,03640054,65,0,1,2275,D,260,D,,A,650,D,30,D,,A,,A,2015,D,120,D,,A,,A,,A,,A
20181,03640064,27,0,1,260,D,91,D,,A,65,D,0,D,,A,,A,169,D,0,D,,A,,A,,A,,A
20181,03640104,27,0,1,1300,D,260,D,,A,390,D,0,D,,A,,A,1040,D,0,D,,A,,A,,A,,A
20181,03640114,46,0,1,975,D,195,D,,A,65,D,0,D,,A,,A,780,D,75,D,75,D,975,D,,A,,A
20181,03640134,42,0,1,1625,D,520,D,,A,455,D,0,D,,A,,A,1105,D,840,D,35,D,455,D,728,D,56,D
20181,03640174,37,0,1,3900,D,1300,D,2600,D,6500,D,0,D,,A,,A,2600,D,0,D,,A,,A,,A,,A
20181,03640184,44,0,1,975,D,130,D,,A,130,D,0,D,,A,,A,845,D,75,D,,A,,A,,A,,A
20181,03640214,75,0,1,715,D,195,D,650,D,195,D,0,D,,A,,A,520,D,0,D,40,D,520,D,,A,,A
20181,03640264,23,0,1,130,D,0,D,,A,0,D,0,D,,A,,A,130,D,0,D,,A,,A,,A,,A
20181,03640284,15,0,1,455,D,78,D,,A,390,D,0,D,,A,,A,377,D,90,D,,A,,A,,A,,A
