QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,OTHLNDRX,OTHL_DRX,OTHDCLNX,OTHD_LNX,SAFDPSTX,SAFD_STX,TXLIMX,TXLIMX_,JLDRYNET,JLDR_NET,JDRYCNET,JDRY_NET,JBNKSCQV,JBNK_CQV,SALONX,SALONX_,JSUBSIDY,JSUB_IDY,WIGSX,WIGSX_,JAMTRAKX,JAMT_AKX,JTRANQV,JTRANQV_,LIMO,LIMO_
20181,03639434,45,0,1,,A,,A,,A,,A,,A,,A,,A,145,D,,A,,A,,A,,A,,A
20181,03639444,25,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639454,10,0,1,,A,,A,,A,,A,3,D,,A,6,D,10,D,,A,,A,,A,,A,,A
20181,03639504,37,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639544,36,0,1,,A,,A,,A,,A,,A,,A,,A,125,D,,A,,A,,A,,A,,A
20181,03639564,48,0,1,,A,,A,,A,3,D,,A,,A,,A,50,D,,A,,A,,A,300,D,,A
20181,03639594,26,0,1,,A,,A,,A,,A,,A,,A,,A,200,D,,A,,A,,A,,A,,A
20181,03639614,48,0,1,,A,,A,,A,,A,,A,,A,,A,17,D,,A,,A,,A,,A,,A
20181,03639624,32,0,1,,A,,A,,A,,A,,A,,A,,A,120,D,,A,,A,,A,,A,,A
20181,03639634,47,0,1,,A,,A,,A,,A,,A,,A,,A,98,D,,A,,A,,A,60,D,,A
20181,03639734,28,0,1,,A,,A,,A,,A,,A,60,D,,A,390,D,,A,,A,,A,,A,,A
20181,03639754,27,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639774,16,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639794,28,0,1,,A,,A,,A,,A,100,D,,A,,A,240,D,,A,,A,,A,,A,,A
20181,03639814,56,0,1,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A
20181,03639854,10,0,1,,A,,A,,A,,A,,A,,A,,A,150,D,,A,,A,,A,,A,,A
20181,03639874,39,0,1,,A,,A,,A,,A,,A,20,D,,A,170,D,,A,,A,,A,,A,,A
20181,03639914,48,0,1,,A,,A,,A,,A,,A,,A,,A,56,D,,A,,A,,A,,A,,A
20181,03639944,41,0,1,,A,,A,,A,,A,,A,,A,,A,25,D,,A,,A,,A,,A,,A
20181,03639974,51,0,1,,A,,A,,A,,A,,A,15,D,,A,90,D,,A,,A,,A,,A,,A
20181,03640004,14,0,1,,A,,A,,A,,A,25,D,,A,,A,90,D,,A,,A,,A,,A,,A
20181,03640044,38,0,1,,A,,A,,A,,A,,A,,A,,A,50,D,,A,,A,,A,,A,,A
