NEWID,TAX_UNIT,TAXYR_CY,TAXYR_PY,DEPCNT,FICAR_CY,FICAR_PY,FILESTAT,FRATE_CY,FRATE_PY,SOI_ST,SOI_ST_,SRATE_CY,SRATE_PY,WAGE_HD,WAGE_HD_,WAGE_SP,WAGE_SP_,OTHTXINC,OTHT_INC,TAXPENS,TAXPENS_,SOSSECB,SOSSECB_,NONTXINC,NONT_INC,RNTPAID,RNTPAID_,PROPTXPD,PROP_XPD,AMTDEDCT,AMTD_DCT,CHLDCARE,CHLD_ARE,DEPUND17,DEPU_D17,OTHDEDCT,OTHD_DCT,FTAXOWE,STAXOWE,FTAXO_PY,FTAXO_CY,STAXO_PY,STAXO_CY,FICA_PY,FICA_CY,FDAGI_PY,FDAGI_CY,STAGI_PY,STAGI_CY,CHDTX_PY,CHDTX_CY,ADDTX_PY,ADDTX_CY,DPCAR_PY,DPCAR_CY,EITCR_PY,EITCR_CY,AMTIN_PY,AMTIN_CY,AMTOW_PY,AMTOW_CY,FRGTX_PY,FRGTX_CY,FTXBC_PY,FTXBC_CY,SSTDD_PY,SSTDD_CY,SITDD_PY,SITDD_CY,SPRCR_PY,SPRCR_CY,SDCAR_PY,SDCAR_CY,SEITC_PY,SEITC_CY,DIVINC,AGE_TP,AGE_SP,DEPUND13,DEPU_D13,DEPUND18,DEPU_D18
03755234,1,2017,2016,1,.15300,.15300,2,.00000,.00000,22,D,.00000,.00000,0,D,17000,D,0,D,0,D,23712,D,0,D,0,D,2800,D,120,D,0,D,1,D,6156,D,-4387,-779,-4373,-4400,-776,-782,2601,2601,17000,17000,17000,17000,0,0,1000,1000,0,0,3373,3400,17000,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,776,782,0,0,66,1,D,1,D
03755234,2,2017,2016,0,.15300,.15300,1,.15000,.15000,22,D,.05100,.05100,30000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,2479,1204,2484,2474,1204,1204,4590,4590,30000,30000,30000,30000,0,0,0,0,0,0,0,0,30000,30000,0,0,2484,2474,2484,2474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03755244,1,2017,2016,0,.00000,.00000,1,-.0765,-.0765,05,D,-.0650,-.0646,0,D,0,D,0,D,0,D,11292,D,0,D,0,D,0,D,293,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,700,700,700,700,0,0,0,0,0,0,0,0,700,700,0,0,0,0,0,0,4129,4236,293,293,0,0,0,0,0,0,0,0,0,0,D,0,D
03755264,1,2017,2016,0,.15300,.15300,1,.23630,.23560,34,D,.05500,.05750,63000,D,0,D,0,D,0,D,0,D,0,D,0,D,1100,D,120,D,0,D,0,D,7392,D,7575,3059,7572,7577,3134,2983,9639,9639,63000,63000,63000,63000,0,0,0,0,0,0,0,0,55608,55608,0,0,7572,7577,7572,7577,8250,8750,8492,8492,0,0,0,0,0,0,0,0,0,0,D,0,D
03755274,1,2017,2016,0,.15300,.15300,1,.15000,.15000,33,D,.06450,.06450,33800,D,0,D,0,D,0,D,0,D,0,D,18300,D,0,D,0,D,0,D,0,D,0,D,3049,1328,3054,3044,1332,1323,5171,5171,33800,33800,33800,33800,0,0,0,0,0,0,0,0,33800,33800,0,0,3054,3044,3054,3044,7950,8000,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03755274,2,2017,2016,0,.15300,.15300,1,.15000,.15000,33,D,.06450,.06450,35000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,3229,1405,3234,3224,1410,1401,5355,5355,35000,35000,35000,35000,0,0,0,0,0,0,0,0,35000,35000,0,0,3234,3224,3234,3224,7950,8000,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03755274,3,2017,2016,0,.15300,.15300,1,.15000,.15000,33,D,.06450,.06450,33000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,2929,1276,2934,2924,1281,1272,5049,5049,33000,33000,33000,33000,0,0,0,0,0,0,0,0,33000,33000,0,0,2934,2924,2934,2924,7950,8000,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03755294,1,2017,2016,1,.15300,.15300,1,.00000,.00000,25,D,.03000,.03000,16800,D,0,D,0,D,0,D,0,D,0,D,3600,D,0,D,0,D,0,D,1,D,0,D,-4387,117,-4373,-4400,117,117,2570,2570,16800,16800,16800,16800,0,0,1000,1000,0,0,3373,3400,16800,16800,0,0,0,0,0,0,3400,3400,0,0,0,0,0,0,0,0,0,32,0,1,D,1,D
03755384,1,2017,2016,0,.15300,.15300,1,.23390,.23390,33,D,.06450,.06450,75211,D,0,D,0,D,0,D,0,D,0,D,0,D,8000,D,0,D,0,D,0,D,15580,D,6902,2992,6918,6887,2995,2989,11507,11507,75211,75211,75211,75211,0,0,0,0,0,0,0,0,59631,59631,0,0,6918,6887,6918,6887,7950,8000,23580,23580,0,0,0,0,0,0,0,0,0,0,D,0,D
03755404,1,2017,2016,2,.00000,.00000,1,-.0765,-.0765,03,D,.00000,.00000,0,D,0,D,0,D,2236,D,0,D,0,D,0,D,3000,D,224,D,0,D,0,D,4228,D,0,-75,0,0,-75,-75,0,0,2236,2236,2236,2236,0,0,0,0,0,0,0,0,2236,2236,0,0,0,0,0,0,10198,10366,7550,7551,0,0,0,0,0,0,0,0,0,0,D,0,D
03755414,1,2017,2016,0,.15300,.15300,2,.15000,.15000,0,T,.00000,.00000,44000,D,58690,D,0,D,0,D,0,D,0,D,0,D,1000,D,3592,D,0,D,0,D,18356,D,9456,0,9459,9454,0,0,15712,15712,100290,100290,0,0,0,0,0,0,0,0,0,0,81934,81934,0,0,9459,9454,9459,9454,0,0,0,0,0,0,0,0,0,0,0,0,35,0,D,0,D
03755424,1,2017,2016,3,.00000,.00000,1,-.4000,-.4000,41,D,.00000,.00000,0,D,0,D,0,D,0,D,17940,D,0,D,13932,D,0,D,0,D,0,D,2,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,D,2,D
03755434,1,2017,2016,0,.00000,.00000,1,.24230,.24230,39,D,.03070,.03070,0,D,0,D,7953,D,38000,D,22356,D,0,D,0,D,5600,D,203,D,0,D,0,D,2280,D,9058,1411,9074,9042,1411,1411,0,0,66756,66756,45953,45953,0,0,0,0,0,0,0,0,64476,64476,0,0,9074,9042,9074,9042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03755434,2,2017,2016,4,.15300,.15300,2,.31060,.31060,39,D,.00000,.00000,13084,D,32753,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,4,D,0,D,-4771,0,-4722,-4821,0,0,7013,7013,45837,45837,45837,45837,894,884,3106,3116,0,0,1615,1704,45837,45837,0,0,894,884,894,884,0,0,0,0,0,0,0,0,0,0,0,0,0,4,D,4,D
03755464,1,2017,2016,0,.15300,.15300,1,.15000,.15000,0,T,.00000,.00000,22320,D,0,D,0,D,0,D,0,D,0,D,0,D,160,D,720,D,0,D,0,D,0,D,1327,0,1332,1322,0,0,3415,3415,22320,22320,0,0,0,0,0,0,0,0,0,0,22320,22320,0,0,1332,1322,1332,1322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03755464,2,2017,2016,2,.15300,.15300,2,.00000,.00000,0,T,.00000,.00000,0,D,19200,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,2,D,0,D,-7594,0,-7572,-7616,0,0,2938,2938,19200,19200,0,0,0,0,2000,2000,0,0,5572,5616,19200,19200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,2,D
03755464,3,2017,2016,0,.15300,.15300,1,.15000,.15000,0,T,.00000,.00000,20000,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,979,0,984,974,0,0,3060,3060,20000,20000,0,0,0,0,0,0,0,0,0,0,20000,20000,0,0,984,974,984,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03755474,1,2017,2016,2,.00000,.00000,1,-.0765,-.0765,45,D,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1000,D,0,D,0,D,0,D,8400,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03755484,1,2017,2016,0,.00000,.00000,1,-.0765,-.0765,11,D,.00000,.00000,0,D,0,D,0,D,0,D,19392,D,0,D,0,D,200,D,607,D,0,D,0,D,1340,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,2300,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03755544,1,2017,2016,1,.15300,.15300,1,.15000,.15000,37,D,.05000,.05000,22000,D,0,D,0,D,0,D,0,D,0,D,0,D,1100,D,46,D,0,D,0,D,3920,D,1433,569,1439,1427,571,568,3366,3366,31413,31413,31413,31413,0,0,0,0,0,0,0,0,31413,31413,0,0,1439,1427,1439,1427,9300,9350,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03755554,1,2017,2016,0,.15300,.15300,1,.15000,.15000,39,D,.03070,.03070,25906,D,0,D,0,D,0,D,0,D,0,D,0,D,880,D,70,D,0,D,0,D,200,D,1775,795,1780,1770,795,795,3964,3964,25306,25306,25906,25906,0,0,0,0,0,0,0,0,25306,25306,0,0,1780,1770,1780,1770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03755554,2,2017,2016,0,.00000,.00000,2,-.0765,-.0765,39,D,.00000,.00000,0,D,0,D,0,D,0,D,21960,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,D,0,D
03755574,1,2017,2016,0,.00000,.00000,1,-.0765,-.0765,05,D,-.0650,-.0646,0,D,0,D,0,D,0,D,14304,D,0,D,5388,D,0,D,0,D,0,D,0,D,0,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4129,4236,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03755584,1,2017,2016,0,.00000,.00000,1,-.0765,-.0765,28,D,-.0077,-.0077,0,D,0,D,0,D,0,D,7368,D,0,D,0,D,5400,D,737,D,0,D,0,D,3897,D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6300,6350,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03755664,1,2017,2016,1,.00000,.00000,1,-.3400,-.3400,43,D,.00000,.00000,0,D,0,D,0,D,1641,D,0,D,0,D,4980,D,0,D,20,D,0,D,1,D,480,D,0,0,0,0,0,0,0,0,1641,1641,0,0,0,0,0,0,0,0,0,0,1641,1641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,1,D
03755674,1,2017,2016,0,.04360,.04360,2,.22680,.22680,05,D,.09300,.09300,135000,D,18000,D,1200,D,0,D,10320,D,0,D,0,D,6000,D,57,D,0,D,0,D,6540,D,23307,6969,23322,23292,7039,6899,21363,22442,154852,154852,146080,146080,0,0,0,0,0,0,0,0,148312,148312,0,0,23322,23292,23322,23292,8258,8472,12597,12597,0,0,0,0,0,0,0,46,0,0,D,0,D
03755724,1,2017,2016,0,.15300,.15300,2,.15000,.15000,19,D,.03400,.03400,0,D,27064,D,0,D,14399,D,0,D,0,D,0,D,1300,D,1442,D,0,D,0,D,8892,D,2177,891,2187,2167,891,892,4141,4141,41463,41463,41463,41463,0,0,0,0,0,0,0,0,41463,41463,0,0,2187,2167,2187,2167,0,0,0,0,0,0,0,0,0,0,0,0,61,0,D,0,D
03755724,2,2017,2016,0,.15300,.15300,1,.15000,.15000,19,D,.03400,.03400,30511,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,2555,788,2560,2550,788,788,4668,4668,30511,30511,30511,30511,0,0,0,0,0,0,0,0,30511,30511,0,0,2560,2550,2560,2550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03755724,3,2017,2016,0,.15300,.15300,1,.15000,.15000,19,D,.03400,.03400,22515,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1356,516,1361,1351,516,517,3445,3445,22515,22515,22515,22515,0,0,0,0,0,0,0,0,22515,22515,0,0,1361,1351,1361,1351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03755764,1,2017,2016,0,.15300,.15300,1,.25000,.25000,10,D,.00000,.00000,54373,D,0,D,0,D,0,D,0,D,0,D,0,D,1700,D,11,D,0,D,0,D,2148,D,6755,0,6777,6732,0,0,8319,8319,54373,54373,0,0,0,0,0,0,0,0,0,0,54373,54373,0,0,6777,6732,6777,6732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03755764,2,2017,2016,0,.15300,.15300,1,.15000,.15000,10,D,.00000,.00000,34018,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,0,D,3081,0,3086,3076,0,0,5205,5205,34018,34018,0,0,0,0,0,0,0,0,0,0,34018,34018,0,0,3086,3076,3086,3076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03755784,1,2017,2016,0,.00000,.00000,1,-.0765,-.0765,47,D,.00000,.00000,0,D,0,D,0,D,600,D,18408,D,0,D,43796,D,0,D,580,D,0,D,0,D,3600,D,0,0,0,0,0,0,0,0,600,600,600,600,0,0,0,0,0,0,0,0,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,0,D
03755794,1,2017,2016,1,.15300,.15300,2,.15000,.15000,0,T,.00000,.00000,21000,D,28000,D,0,D,0,D,0,D,0,D,0,D,90,D,2391,D,1600,D,1,D,20,D,1380,0,1390,1370,0,0,7497,7497,49000,49000,0,0,1000,1000,0,0,320,320,0,0,49000,49000,0,0,2710,2690,2710,2690,0,0,0,0,0,0,0,0,0,0,0,49,0,1,D,1,D
03755804,1,2017,2016,6,.00000,.00000,1,-.3400,-.3400,0,T,.00000,.00000,0,D,0,D,0,D,0,D,0,D,0,D,0,D,1200,D,948,D,0,D,1,D,2140,D,0,0,0,0,0,0,0,0,41,41,0,0,0,0,0,0,0,0,0,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,1,D
03755814,1,2017,2016,0,.15300,.15300,2,.15000,.15000,11,D,.06000,.06000,56238,D,20536,D,0,D,0,D,0,D,0,D,14400,D,0,D,0,D,0,D,0,D,0,D,7474,3722,7484,7464,3722,3722,11746,11746,76774,76774,76774,76774,0,0,0,0,0,0,0,0,76774,76774,0,0,7484,7464,7484,7464,3000,3000,0,0,0,0,0,0,0,0,0,0,59,0,D,0,D
03755854,1,2017,2016,1,.15300,.15300,1,.15000,.15000,47,D,.05750,.05750,61000,D,0,D,0,D,0,D,0,D,0,D,12000,D,0,D,254,D,120,D,1,D,60,D,4765,2932,4771,4759,2932,2932,9333,9333,60452,60452,60452,60452,1000,1000,0,0,24,24,0,0,60452,60452,0,0,5795,5783,5795,5783,3000,3000,0,0,0,0,0,0,0,0,0,40,0,1,D,1,D
03755914,1,2017,2016,0,.15300,.15300,1,.25000,.25000,05,D,.09300,.09300,1140,D,0,D,0,D,23975,D,4620,D,0,D,43796,D,0,D,331,D,0,D,0,D,0,D,12381,3673,12404,12359,3713,3633,174,174,76879,76879,72952,72952,0,0,0,0,0,0,0,0,76879,76879,0,0,12404,12359,12404,12359,4129,4236,331,331,0,0,0,0,0,0,0,0,0,0,D,0,D
03755924,1,2017,2016,0,.15300,.15300,1,.10000,.10000,01,D,.04500,.04500,20000,D,0,D,0,D,0,D,0,D,0,D,8100,D,0,D,41,D,0,D,0,D,0,D,863,667,865,860,667,667,3060,3060,19000,19000,19000,19000,0,0,0,0,0,0,0,0,19000,19000,0,0,865,860,865,860,2500,2500,1571,1571,0,0,0,0,0,0,0,0,0,0,D,0,D
